mode,metric,n,mean,std,median,q25,q75,min,max,positive_frac,negative_frac,nonzero_frac,t_stat,t_pvalue,sign_pvalue
frozen_intersection,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
frozen_intersection,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_intersection,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_intersection,n_common_edges,20,28.9,2.314712668311578,28.5,27.0,30.25,26.0,33.0,1.0,0.0,1.0,55.83618687055567,1.5478802359051173e-22,1.9073486328125e-06
frozen_intersection,support_jaccard,20,0.5686696445966625,0.07237124266977862,0.5535444947209653,0.5094339622641509,0.6081632653061224,0.48148148148148145,0.7021276595744681,1.0,0.0,1.0,35.140587204253755,9.43278343282338e-19,1.9073486328125e-06
frozen_union,delta_edge_mean,20,0.016375005039051788,0.034099545678547526,0.01522213713324333,-0.003664355049817422,0.04537736117911753,-0.05193675851957513,0.07238812861740981,0.65,0.35,1.0,2.147572565593258,0.044861730550126565,0.26317596435546875
frozen_union,delta_node_mean,20,0.020983350545794498,0.038354220040433984,0.01827968688080983,-0.0014708199404204758,0.05080378740266381,-0.045548576949580255,0.08729121908632531,0.7,0.3,1.0,2.4466772191763697,0.024317373785713282,0.11531829833984375
frozen_union,delta_near_edge_mean,20,0.02940371029843719,0.04011891518527464,0.022404536385033036,0.005381597235491892,0.058198183844123945,-0.03140683138322031,0.10172573540714197,0.8,0.2,1.0,3.2776905713616493,0.003959317859509381,0.01181793212890625
frozen_union,delta_far_edge_mean,19,-0.027857148135828427,0.09784738565610909,-0.024924325009311743,-0.09555653920070525,0.016640936036884157,-0.20569133451537192,0.14565580140496162,0.2631578947368421,0.7368421052631579,1.0,-1.2409784151625651,0.23054460868483684,0.063568115234375
frozen_union,delta_near_minus_far,19,0.05618022252253961,0.10202149600472868,0.03470411331083301,0.005998476545353432,0.12836923481198415,-0.13415731260730063,0.221496758234247,0.7368421052631579,0.2631578947368421,1.0,2.400316817448232,0.027409038408863034,0.063568115234375
frozen_union,common_edge_delta_mean,20,0.0163750050390518,0.03409954567854752,0.015222137133243444,-0.0036643550498174577,0.0453773611791175,-0.05193675851957514,0.07238812861740983,0.65,0.35,1.0,2.14757256559326,0.04486173055012628,0.26317596435546875
frozen_union,common_edge_delta_mean_near,20,0.02940371029843719,0.04011891518527464,0.022404536385033084,0.0053815972354919,0.058198183844123896,-0.031406831383220306,0.10172573540714197,0.8,0.2,1.0,3.2776905713616493,0.003959317859509381,0.01181793212890625
frozen_union,common_edge_delta_mean_far,19,-0.02785714813582842,0.0978473856561091,-0.024924325009311733,-0.09555653920070524,0.016640936036884157,-0.20569133451537192,0.1456558014049617,0.2631578947368421,0.7368421052631579,1.0,-1.2409784151625647,0.23054460868483706,0.063568115234375
frozen_union,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
frozen_union,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_union,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_union,n_common_edges,20,51.1,2.314712668311578,51.5,49.75,53.0,47.0,54.0,1.0,0.0,1.0,98.72765221748772,3.184354034909572e-27,1.9073486328125e-06
frozen_union,support_jaccard,20,0.5686696445966625,0.07237124266977862,0.5535444947209653,0.5094339622641509,0.6081632653061224,0.48148148148148145,0.7021276595744681,1.0,0.0,1.0,35.140587204253755,9.43278343282338e-19,1.9073486328125e-06

