seed,mode,status,delta_edge_mean,delta_node_mean,delta_near_edge_mean,delta_far_edge_mean,delta_near_minus_far,common_edge_delta_mean,common_edge_delta_mean_near,common_edge_delta_mean_far,edge_jaccard,edges_only_baseline,edges_only_perturbed,n_common_edges,support_jaccard
51,free,ok,0.09273698175888268,0.11083661893872038,0.16268648441169192,-0.09816935106642961,0.2608558354781215,0.07836046576888812,0.17316003221247314,-0.15863845034007446,0.5384615384615384,12.0,12.0,28.0,0.5384615384615384
51,frozen_baseline,ok,0.12079853831589255,0.12135290848869665,0.17395863293707492,-0.03868174554765477,0.2126403784847297,0.12079853831589252,0.17395863293707495,-0.03868174554765478,1.0,0.0,0.0,40.0,0.5384615384615384
51,frozen_perturbed,ok,-0.038443978985961524,-0.03333242291220176,0.07896576299070723,-0.10888982417196283,0.18785558716267006,-0.03844397898596151,0.0789657629907072,-0.10888982417196276,1.0,0.0,0.0,40.0,0.5384615384615384
51,frozen_intersection,ok,0.07793845172298511,0.08639238628231077,0.15957443723581885,0.016711462588359774,0.1428629746474591,0.07793845172298511,0.15957443723581888,0.016711462588359774,1.0,0.0,0.0,28.0,0.5384615384615384
51,frozen_union,ok,0.03212954312848382,0.03867830068607253,0.0851768200223339,-0.12701228755306643,0.21218910757540033,0.0321295431284838,0.0851768200223339,-0.12701228755306643,1.0,0.0,0.0,52.0,0.5384615384615384
52,free,ok,-0.008975095241942038,-0.010139901083914965,-0.0489247258615452,0.07027686549814324,-0.11920159135968844,0.01944560249056817,0.004039090718477093,0.03870374220568201,0.5094339622641509,13.0,13.0,27.0,0.5094339622641509
52,frozen_baseline,ok,0.03636835147314249,0.03284994953004719,0.039438660078565446,0.029204298060488937,0.01023436201807651,0.03636835147314251,0.039438660078565495,0.0292042980604889,1.0,0.0,0.0,40.0,0.5094339622641509
52,frozen_perturbed,ok,-0.06764163412294244,-0.09059129740072516,-0.0932647362456194,0.009227672245088192,-0.10249240849070759,-0.06764163412294248,-0.09326473624561937,0.009227672245088159,1.0,0.0,0.0,40.0,0.5094339622641509
52,frozen_intersection,ok,0.012174933449945205,-0.017325881189439715,-0.042451961149693546,0.04430840086149737,-0.08676036201119092,0.012174933449945202,-0.04245196114969353,0.0443084008614974,1.0,0.0,0.0,27.0,0.5094339622641509
52,frozen_union,ok,-0.032742607149096964,-0.040628999209976036,-0.028691076229688528,-0.05936695319092333,0.030675876961234805,-0.03274260714909696,-0.028691076229688597,-0.05936695319092333,1.0,0.0,0.0,53.0,0.5094339622641509
53,free,ok,-0.006578242199428458,-0.005372755616410707,0.03918532194088625,-0.12361002499188495,0.1627953469327712,-0.02902703439029088,-0.004855311957844099,-0.07737047925518445,0.6,10.0,10.0,30.0,0.6
53,frozen_baseline,ok,0.05256577817984456,0.04784896017969548,0.08025180035080598,-0.004935960175229098,0.08518776052603508,0.052565778179844556,0.08025180035080595,-0.004935960175229075,1.0,0.0,0.0,40.0,0.6
53,frozen_perturbed,ok,-0.004592628718069841,0.00552224840958776,0.015483765769900765,-0.046289755731547144,0.06177352150144791,-0.004592628718069825,0.015483765769900721,-0.04628975573154713,1.0,0.0,0.0,40.0,0.6
53,frozen_intersection,ok,0.023441394957168446,0.02715104133307023,0.06641045321666622,-0.0094172966530357,0.0758277498697019,0.02344139495716846,0.06641045321666622,-0.009417296653035714,1.0,0.0,0.0,30.0,0.6
53,frozen_union,ok,-0.0015787796833394152,0.00014926469113646368,0.004257606648153722,-0.024924325009311743,0.029181931657465465,-0.0015787796833393864,0.0042576066481537,-0.024924325009311733,1.0,0.0,0.0,50.0,0.6
54,free,ok,0.032613800971348944,0.04337890569279512,0.05310600781115711,-0.021411107969963483,0.0745171157811206,0.02006196561289732,0.01564807351771427,0.029993222827059185,0.48148148148148145,14.0,14.0,26.0,0.48148148148148145
54,frozen_baseline,ok,0.08571693473111427,0.08702008072249037,0.10579012453203333,0.032796707074145864,0.07299341745788747,0.08571693473111427,0.10579012453203335,0.03279670707414586,1.0,0.0,0.0,40.0,0.48148148148148145
54,frozen_perturbed,ok,-0.086467466766139,-0.07977441914530992,-0.1196293760425452,-0.056463834563676374,-0.06316554147886883,-0.08646746676613903,-0.11962937604254517,-0.05646383456367633,1.0,0.0,0.0,40.0,0.48148148148148145
54,frozen_intersection,ok,0.006637297916657408,0.008758509222203621,-0.022216550691930022,0.031369168152589486,-0.053585718844519514,0.006637297916657407,-0.022216550691930025,0.03136916815258949,1.0,0.0,0.0,26.0,0.48148148148148145
54,frozen_union,ok,-0.00324110194561128,-0.0008836385587533413,0.005756260764604615,-0.028947852546228392,0.03470411331083301,-0.0032411019456113233,0.005756260764604634,-0.028947852546228375,1.0,0.0,0.0,54.0,0.48148148148148145
55,free,ok,0.0033881343787182383,0.0018765193878029496,-0.07711697081766716,0.044255391498729924,-0.12137236231639709,-0.03373219965761941,-0.08760473944690934,0.0002925623145637192,0.6326530612244898,9.0,9.0,31.0,0.6326530612244898
55,frozen_baseline,ok,0.033212665917237094,0.037336397905388785,0.05704359689175584,0.011651347416482133,0.045392249475273705,0.03321266591723709,0.0570435968917558,0.011651347416482064,1.0,0.0,0.0,40.0,0.6326530612244898
55,frozen_perturbed,ok,-0.052736245096151074,-0.06439500097372289,-0.09190931059430846,-0.03387513948592713,-0.05803417110838133,-0.052736245096151026,-0.09190931059430846,-0.03387513948592709,1.0,0.0,0.0,40.0,0.6326530612244898
55,frozen_intersection,ok,-0.013999903074300102,-0.02796968874412875,-0.018927497515484754,-0.011289726131648525,-0.007637771383836228,-0.013999903074300072,-0.018927497515484757,-0.011289726131648492,1.0,0.0,0.0,31.0,0.6326530612244898
55,frozen_union,ok,-0.0049341143624358486,0.005946626374656705,0.008718604522461593,-0.015173653526108943,0.023892258048570536,-0.00493411436243586,0.008718604522461601,-0.015173653526108952,1.0,0.0,0.0,49.0,0.6326530612244898
56,free,ok,0.02476631811526206,0.028587270238513984,0.03530771417091416,-0.175520206942127,0.21082792111304116,0.025415878728833496,0.038379497159218054,-0.175520206942127,0.7021276595744681,7.0,7.0,33.0,0.7021276595744681
56,frozen_baseline,ok,0.06326051137066457,0.058217281685386035,0.07477091954973891,-0.1554372440317463,0.23020816358148521,0.0632605113706646,0.07477091954973887,-0.1554372440317463,1.0,0.0,0.0,40.0,0.7021276595744681
56,frozen_perturbed,ok,0.023102403124003412,0.032735906213156,0.033822826473737244,-0.1091161515227139,0.14293897799645114,0.023102403124003423,0.03382282647373726,-0.10911615152271388,1.0,0.0,0.0,40.0,0.7021276595744681
56,frozen_intersection,ok,0.03307081739017924,0.03698139806752654,0.0742259742970573,-0.11979119397822514,0.19401716827528245,0.033070817390179225,0.07422597429705734,-0.11979119397822513,1.0,0.0,0.0,33.0,0.7021276595744681
56,frozen_union,ok,0.049935792621231184,0.05310832249889344,0.049935792621231184,nan,nan,0.04993579262123117,0.04993579262123117,nan,1.0,0.0,0.0,47.0,0.7021276595744681
57,free,ok,-0.016670517410812935,-0.0003967246823965431,-0.009178855582367335,-0.007215690278850995,-0.00196316530351634,-0.011190149900080274,0.004171332106353527,-0.06495533692259853,0.5094339622641509,13.0,13.0,27.0,0.5094339622641509
57,frozen_baseline,ok,0.04394253027365663,0.04718386744902531,0.06338775974721828,-0.047727837244562574,0.11111559699178085,0.04394253027365663,0.06338775974721829,-0.04772783724456258,1.0,0.0,0.0,40.0,0.5094339622641509
57,frozen_perturbed,ok,-0.10053918580649346,-0.09593654634605048,-0.1205407640044428,-0.04053445121264529,-0.08000631279179751,-0.10053918580649342,-0.12054076400444276,-0.04053445121264533,1.0,0.0,0.0,40.0,0.5094339622641509
57,frozen_intersection,ok,-0.008460403774969177,0.0032279181840139254,0.007162136892673532,-0.02095843630908338,0.028120573201756913,-0.008460403774969198,0.007162136892673532,-0.020958436309083384,1.0,0.0,0.0,27.0,0.5094339622641509
57,frozen_union,ok,-0.024157029820108422,-0.01855027665633907,-0.026589450973024675,0.03786970957925495,-0.06445916055227963,-0.024157029820108426,-0.02658945097302464,0.03786970957925495,1.0,0.0,0.0,53.0,0.5094339622641509
58,free,ok,0.10569949701932949,0.12146091302456188,0.10589709645527451,0.10897261017076496,-0.0030755137154904466,0.10461724134688595,0.09254273864845963,0.11582927956685321,0.5094339622641509,13.0,13.0,27.0,0.5094339622641509
58,frozen_baseline,ok,0.06538388816250015,0.058400260706173907,0.08660553615875899,0.0335514161681118,0.053054119990647186,0.06538388816250011,0.08660553615875899,0.03355141616811181,1.0,0.0,0.0,40.0,0.5094339622641509
58,frozen_perturbed,ok,-0.06984931835043606,-0.06792799351247736,-0.04802664291364156,-0.09396911751741932,0.04594247460377776,-0.06984931835043595,-0.048026642913641476,-0.09396911751741932,1.0,0.0,0.0,40.0,0.5094339622641509
58,frozen_intersection,ok,-0.024388296057032313,-0.04357765577624455,-0.007041918588488946,-0.040495646563536825,0.03345372797504788,-0.024388296057032306,-0.007041918588488931,-0.04049564656353687,1.0,0.0,0.0,27.0,0.5094339622641509
