feature,variant,amp_mode,loo_improvement_pct,loo_rmse_log,loo_pearson_C,loo_spearman_C,full_improvement_pct,full_pearson_C
norm_rawS_amp_logMstar_phi_inner_minus_outer,norm_rawS,amp_logMstar,4.707218415900159,0.48816150093334837,0.3087038060738627,0.3095267255708162,7.018702151569952,0.36790013833725743
norm_rawS_shape_norm_force_inner_mean,norm_rawS,shape_norm,4.543276673627163,0.4890013341887454,0.32582569589286486,0.37443793193946284,8.260390514815182,0.397856347968493
norm_rawS_shape_norm_force_inner_minus_outer,norm_rawS,shape_norm,4.519702365609228,0.48912209957510727,0.32532050813320684,0.3741579914268218,8.246148457438709,0.39752774967724475
norm_rawS_shape_norm_grad_rms,norm_rawS,shape_norm,4.227247788623349,0.4906202724994673,0.3189769139196892,0.3626104452803779,8.064540608111416,0.39330903142738083
norm_rawS_shape_norm_force_mid_minus_outer,norm_rawS,shape_norm,3.97269280504282,0.4919242951210031,0.31424597564664175,0.36086081707637124,7.9732569653077325,0.39116816228717977
norm_rawS_amp_Mstar_force_mid_minus_outer,norm_rawS,amp_Mstar,3.9010578090641115,0.4922912636004095,0.28524052400240474,0.2827924066135946,6.278896187121541,0.34862100058531525
norm_rawS_amp_Mstar_force_inner_mean,norm_rawS,amp_Mstar,3.8317936846897145,0.49264608668725157,0.2827606352580425,0.2871314845595311,6.2037622337782885,0.34659421741585805
norm_rawS_amp_Mstar_force_inner_minus_outer,norm_rawS,amp_Mstar,3.8169869917255514,0.4927219377364191,0.2822821643645782,0.2882512466100954,6.189224281226647,0.34620048911063644
rawL_rawS_shape_norm_force_inner_mean,rawL_rawS,shape_norm,3.8064718889594853,0.4927758040237015,0.30959088612346003,0.35330242323506256,7.788909994973252,0.3868019910245993
rawL_rawS_amp_Mstar_phi_mid_mean,rawL_rawS,amp_Mstar,3.678608716203628,0.4934308156341194,0.2814450088621038,0.3229988627416674,6.316804005287452,0.3496385145034499
rawL_rawS_amp_Mstar_phi_inner_minus_outer,rawL_rawS,amp_Mstar,3.652935537846729,0.4935623330174101,0.2806282469867853,0.3229988627416674,6.2918929776761,0.3489702383985982
norm_rawS_amp_Mstar_grad_rms,norm_rawS,amp_Mstar,3.646725597812887,0.4935941450140507,0.27682524599618086,0.2768086781558919,6.025167358604041,0.3417216396301127
rawL_rawS_shape_norm_force_mid_minus_outer,rawL_rawS,shape_norm,3.5060902718111833,0.49431458522666694,0.30246695114979555,0.34777359811040154,7.564011038074967,0.3813956204409805
rawL_rawS_shape_norm_force_outer_mean,rawL_rawS,shape_norm,3.492457644603716,0.4943844218255009,0.3021422701611579,0.3483334791356837,7.553826341563642,0.3811486602696656
rawL_rawS_shape_norm_force_inner_minus_outer,rawL_rawS,shape_norm,3.4924026732780513,0.49438470343009255,0.3021409383371794,0.3483334791356837,7.5537837772606995,0.38114762777067085
rawL_rawS_shape_norm_grad_rms,rawL_rawS,shape_norm,3.489132638577611,0.4944014550142203,0.3020629420476585,0.3483334791356837,7.551334361159392,0.3810882058100356
rawL_rawS_shape_norm_force_mid_mean,rawL_rawS,shape_norm,3.474044075624104,0.49447875001407093,0.30170275376254957,0.3464788732394366,7.540019469831641,0.380813569787045
norm_rawS_amp_logMstar_force_outer_mean,norm_rawS,amp_logMstar,3.3316668170024673,0.4952081137194023,0.27039238432275864,0.25952235150030617,5.90781427051331,0.33847659599047847
rawL_rawS_amp_logMstar_force_inner_mean,rawL_rawS,amp_logMstar,2.989296766875908,0.49696199134545216,0.27646143933136025,0.31379581838859244,6.42685719728299,0.35257359312408626
norm_rawS_amp_logMstar_force_mid_mean,norm_rawS,amp_logMstar,2.84075521073876,0.4977229332320198,0.25285661557826866,0.25024932201907096,5.357590082900769,0.32277020183309807
rawL_rawS_amp_logMstar_force_mid_minus_outer,rawL_rawS,amp_logMstar,2.7795468993420602,0.49803648836877107,0.26855519039179665,0.30616743941912344,6.136123168950999,0.3447580212371537
rawL_rawS_amp_logMstar_force_outer_mean,rawL_rawS,amp_logMstar,2.770701666031244,0.4980818003252208,0.2682135594056218,0.30662234275216516,6.123691040487801,0.3444193170035532
rawL_rawS_amp_logMstar_force_inner_minus_outer,rawL_rawS,amp_logMstar,2.770663960836161,0.4980819934796688,0.26821208475477004,0.30662234275216516,6.1236372634943885,0.34441785106775025
rawL_rawS_amp_logMstar_grad_rms,rawL_rawS,amp_logMstar,2.76854184233027,0.49809286457124335,0.26812997634340463,0.30662234275216516,6.1206508211041495,0.3443364309232828
rawL_rawS_amp_logMstar_force_mid_mean,rawL_rawS,amp_logMstar,2.758769759892617,0.49814292454798775,0.267751146419508,0.30609745429096313,6.106877932036386,0.3439606541592178
rawL_rawS_amp_sqrtMstar_force_inner_mean,rawL_rawS,amp_sqrtMstar,2.187392615016452,0.5010699492397331,0.23408846130260927,0.23166827049252037,4.887164082445398,0.3086308770794176
norm_rawS_amp_logMstar_force_inner_mean,norm_rawS,amp_logMstar,2.185478044552474,0.5010797571136959,0.22756688871860403,0.21606158691278102,4.633452910393924,0.30069885196593454
norm_rawS_amp_logMstar_force_inner_minus_outer,norm_rawS,amp_logMstar,2.1721833030790165,0.5011478628069532,0.2270040470097479,0.21693640101478434,4.618156765269297,0.300213249584376
