topology,seed,n,hilbert_dim,subsystem_size,d_A,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,g2_plateau,C_modular,candidate_L,family,spearman_lambda_kappa,beta_pred_from_alpha,abs_beta_minus_pred,fit_ok,r2,A_fit,beta,B_fit
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,induced,pos,1.0,,,1,0.9627407411535921,280.8944802132339,1.01988906825768,1.140081849957408
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,induced,neg,1.0,,,1,-4.440892098500626e-16,0.17592891009452744,1.9980936677901437e-16,9.707511159686119
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,schur,pos,1.0,,,1,0.8837974631511027,12900.493736213337,3.830485388774459,3.523398025472775
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,schur,neg,1.0,,,1,0.0,0.1397111977292115,2.7699517352871648e-19,9.743728872410138
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,input_induced,pos,1.0,,,1,0.9847740427832585,9.514030215911777,0.3897309540571204,-0.01463393601291589
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,input_induced,neg,1.0,,,1,0.0,0.0631620765251004,3.8796654467145965e-16,9.820277993255544
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,mi_normalized,pos,1.0,,,1,0.9359441028790348,7.86783162323179,1.1301918481079198,1.3211374636640443
er,0,16,65536,4,16,"3,9,10,13",46,-56.9446961560205,-0.052611346637186494,0.33275366520942007,0.05085806222088695,0.008851529955457023,0.02896181360887222,0.3979647800715518,0.05483091055796578,0.8772945689274525,mi_normalized,neg,1.0,,,1,-2.220446049250313e-16,0.07221953432363842,2.684549340698627e-15,9.811220535514014
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,induced,pos,1.0,,,1,0.9919846340212526,64.80820412806305,0.4497245433505884,-0.24056810349643334
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,induced,neg,1.0,,,1,-4.440892098500626e-16,0.1919616710410468,2.450078023765088e-15,9.951841350150564
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,schur,pos,1.0,,,1,0.9657177775082806,163.0255810958573,1.2624482186576456,1.4972586781714288
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,schur,neg,1.0,,,1,0.0,0.1595547992264501,3.022419252357231e-18,9.98424822194722
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,input_induced,pos,1.0,,,1,0.8716784036572949,7.462912022687819,0.3850769005585183,5.127481410238567
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,input_induced,neg,1.0,,,1,0.0,0.05743745686525582,1.1795515401884334e-18,10.086365586607135
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,mi_normalized,pos,1.0,,,1,0.972925360052959,8.7041692411323,1.0556504858968878,1.0989064084111522
er,1,16,65536,4,16,"2,8,11,12",51,-61.65688956129568,-0.0736147954239324,0.32469493313989456,0.04759992437614339,0.008734436669295317,0.02946793083091112,0.3855349524134651,0.05872355381740422,0.9395768610784675,mi_normalized,neg,1.0,,,1,-6.661338147750939e-16,0.08146756257909332,9.379327621288227e-15,10.062335458664558
er,2,16,65536,4,16,"4,6,7,14",51,-62.55040740622325,0.02916937567433059,0.4620682529576094,0.04876216680917771,0.008779601875201206,0.03885172896634193,0.2772040848437924,0.060824251374991985,0.9731880219998718,induced,pos,1.0,,,1,0.9490084763648243,120.39603208817044,0.6571683320280312,0.4908325103002328
er,2,16,65536,4,16,"4,6,7,14",51,-62.55040740622325,0.02916937567433059,0.4620682529576094,0.04876216680917771,0.008779601875201206,0.03885172896634193,0.2772040848437924,0.060824251374991985,0.9731880219998718,induced,neg,1.0,,,1,0.0,0.1732264258159814,1.7890875617905672e-15,9.543822793884237
er,2,16,65536,4,16,"4,6,7,14",51,-62.55040740622325,0.02916937567433059,0.4620682529576094,0.04876216680917771,0.008779601875201206,0.03885172896634193,0.2772040848437924,0.060824251374991985,0.9731880219998718,schur,pos,1.0,,,1,0.9465127562229112,364.8023026402928,1.8289861318689018,2.3627167882514515
er,2,16,65536,4,16,"4,6,7,14",51,-62.55040740622325,0.02916937567433059,0.4620682529576094,0.04876216680917771,0.008779601875201206,0.03885172896634193,0.2772040848437924,0.060824251374991985,0.9731880219998718,schur,neg,1.0,,,1,0.0,0.144175117829294,7.426029071090379e-19,9.572874106568317
