geometry,N_input,N_actual,target_dim,expected_curvature,k,kernel_factor,epsilon,density,alpha_idleness,i,j,edge_weight,intrinsic_edge_length,graph_distance,kappa_OR
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,30,35,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.039339854178217726
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,87,90,0.8824969025845948,0.14726215563702194,0.14726215563702194,5.551115123125783e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,114,116,0.9459594689067649,0.09817477042468159,0.09817477042468159,2.6645352591003757e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,94,95,0.9862071167439164,0.04908738521234035,0.04908738521234035,0.3933985417821787
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,105,110,0.7066482778577161,0.24543692606170264,0.24543692606170264,0.03933985417821839
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,50,52,0.9459594689067653,0.09817477042468115,0.09817477042468115,4.440892098500626e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,101,107,0.6065306597126336,0.294524311274043,0.294524311274043,0.0327832118151814
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,88,92,0.8007374029168077,0.1963495408493623,0.1963495408493623,-0.04917481772277177
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,120,124,0.8007374029168077,0.1963495408493623,0.1963495408493623,-0.0983496354455442
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,58,63,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.07867970835643567
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,42,44,0.9459594689067659,0.0981747704246807,0.0981747704246807,0.09834963544554376
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,80,81,0.9862071167439164,0.04908738521234035,0.04908738521234035,-0.3933985417821819
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,116,120,0.8007374029168093,0.1963495408493614,0.1963495408493614,0.09834963544554365
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,6,9,0.8824969025845955,0.14726215563702155,0.14726215563702155,0.06556642363036347
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,41,42,0.986207116743916,0.049087385212340795,0.049087385212340795,-0.1966992708910864
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,49,51,0.9459594689067653,0.09817477042468115,0.09817477042468115,-0.0983496354455442
