n,hilbert_dim,subsystem_size,d_A,topology,seed,eta_zz,hx,hz,hz_random,j_disorder,j,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,candidate_L,g2_plateau,C_modular,t_dip,g2_dip,t_ramp,g2_ramp,slope_ramp,log_t_dip,log_t_ramp,delta3_proxy,family,spearman_lambda_kappa,fit_ok,r2,A_fit,beta,B_fit
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,input_induced,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,pos,0.9707442443157291,1,0.9350309330572302,12.785860287876512,0.5541492377903371,6.380946929959852
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,input_induced,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,neg,0.9707442443157291,1,0.0,0.09837474721059748,1.6238266282754846e-22,16.85234241510161
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,mi_normalized,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,pos,0.9970544855015814,1,0.9353691917266284,12.053402560998535,0.747331051626321,6.406114187307062
9,512,4,16,chain,3,0.5,0.8,0.0,0.2,0.2,1.0,"0,1,4,5",8,-14.842385561804448,-0.030437274928817967,0.11215110281549298,0.07221363788020353,0.017443749194318448,0.24036428728954762,0.5025412058537352,mi_normalized,0.08932661719220653,1.4292258750753044,111.0850439882698,3.840599689294564e-05,113.5483870967742,0.0940129996891093,0.03814921005838775,4.710296070016507,4.732229064107005,0.004085489346422208,neg,0.9970544855015814,1,-3.1086244689504383e-15,0.11676479481785243,2.7859867662299065e-14,16.833952367968315
9,512,4,16,chain,4,0.5,0.8,0.0,0.2,0.2,1.0,"1,4,6,8",8,-15.455941466318531,-0.024308337487492348,0.2470349206510918,0.05804117406772497,0.013765922087386754,0.10960376981385639,0.38168338581682665,induced,0.05782033109736568,0.9251252975578509,102.40469208211144,7.859833387789202e-06,110.85043988269796,0.04390481918749514,0.005197521923524512,4.6289325326700315,4.708181904324172,0.0034248856495977605,pos,1.0,1,0.9618814248714869,42.1025340090278,0.1753873842394171,-3.2920946707788232
9,512,4,16,chain,4,0.5,0.8,0.0,0.2,0.2,1.0,"1,4,6,8",8,-15.455941466318531,-0.024308337487492348,0.2470349206510918,0.05804117406772497,0.013765922087386754,0.10960376981385639,0.38168338581682665,induced,0.05782033109736568,0.9251252975578509,102.40469208211144,7.859833387789202e-06,110.85043988269796,0.04390481918749514,0.005197521923524512,4.6289325326700315,4.708181904324172,0.0034248856495977605,neg,1.0,1,0.0,0.22822137364614611,2.9248065039483854e-17,9.032129783774328
9,512,4,16,chain,4,0.5,0.8,0.0,0.2,0.2,1.0,"1,4,6,8",8,-15.455941466318531,-0.024308337487492348,0.2470349206510918,0.05804117406772497,0.013765922087386754,0.10960376981385639,0.38168338581682665,schur,0.05782033109736568,0.9251252975578509,102.40469208211144,7.859833387789202e-06,110.85043988269796,0.04390481918749514,0.005197521923524512,4.6289325326700315,4.708181904324172,0.0034248856495977605,pos,1.0,1,0.947545574874271,50.213548090869516,0.4835065857694821,0.5386974671171574
9,512,4,16,chain,4,0.5,0.8,0.0,0.2,0.2,1.0,"1,4,6,8",8,-15.455941466318531,-0.024308337487492348,0.2470349206510918,0.05804117406772497,0.013765922087386754,0.10960376981385639,0.38168338581682665,schur,0.05782033109736568,0.9251252975578509,102.40469208211144,7.859833387789202e-06,110.85043988269796,0.04390481918749514,0.005197521923524512,4.6289325326700315,4.708181904324172,0.0034248856495977605,neg,1.0,1,-4.440892098500626e-16,0.18663882240049692,3.590397328418078e-15,9.073712335141085
9,512,4,16,chain,4,0.5,0.8,0.0,0.2,0.2,1.0,"1,4,6,8",8,-15.455941466318531,-0.024308337487492348,0.2470349206510918,0.05804117406772497,0.013765922087386754,0.10960376981385639,0.38168338581682665,input_induced,0.05782033109736568,0.9251252975578509,102.40469208211144,7.859833387789202e-06,110.85043988269796,0.04390481918749514,0.005197521923524512,4.6289325326700315,4.708181904324172,0.0034248856495977605,pos,,1,-6.794564910705958e-14,38.02374403003779,0.9999460919554649,9.260314234984353
9,512,4,16,chain,4,0.5,0.8,0.0,0.2,0.2,1.0,"1,4,6,8",8,-15.455941466318531,-0.024308337487492348,0.2470349206510918,0.05804117406772497,0.013765922087386754,0.10960376981385639,0.38168338581682665,input_induced,0.05782033109736568,0.9251252975578509,102.40469208211144,7.859833387789202e-06,110.85043988269796,0.04390481918749514,0.005197521923524512,4.6289325326700315,4.708181904324172,0.0034248856495977605,neg,,1,-2.220446049250313e-16,8.117622888609924,0.4588399663342118,-4585.57017653015
9,512,4,16,chain,4,0.5,0.8,0.0,0.2,0.2,1.0,"1,4,6,8",8,-15.455941466318531,-0.024308337487492348,0.2470349206510918,0.05804117406772497,0.013765922087386754,0.10960376981385639,0.38168338581682665,mi_normalized,0.05782033109736568,0.9251252975578509,102.40469208211144,7.859833387789202e-06,110.85043988269796,0.04390481918749514,0.005197521923524512,4.6289325326700315,4.708181904324172,0.0034248856495977605,pos,1.0,1,0.9749713214238152,8.700988342199068,0.8322967007901363,0.8307040641719993
