sigma,chi,omega,normalize_components,T00_sum,Taa_sum,Tgrad_sum,Taa_over_T00,Tgrad_over_T00,center,pearson_full_abs_delta_R,pearson_full_abs_delta_R_p,spearman_full_abs_delta_R,spearman_full_abs_delta_R_p,pearson_full_delta_R,pearson_full_delta_R_p,spearman_full_delta_R,spearman_full_delta_R_p,spearman_fluid_abs_delta_R,spearman_fluid_abs_delta_R_p,spearman_fluid_delta_R,spearman_fluid_delta_R_p,spearman_grad_abs_delta_R,spearman_grad_abs_delta_R_p,spearman_grad_delta_R,spearman_grad_delta_R_p
0.03,1.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,0.19848751691069544,0.40152472204755524,0.328066308070743,0.157912351550439,0.19719982460032665,0.40464815854969327,0.21519945896383602,0.36220398884499655,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,3.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,0.22565139347566043,0.3387786411475095,0.35816413449925155,0.12100097989267375,0.15410613034866008,0.5165320504908489,0.14296467553541553,0.5476457857972896,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,5.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,0.2327438404434203,0.3234021139380834,0.4198646786776941,0.06532454813265298,0.14200176093673678,0.5503739768129772,0.15048913214254267,0.5265402918215605,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.03,10.0,-0.5,True,0.0006368607359732701,0.0008536495128729839,1.2058336487507952e-07,1.3404021706070646,0.00018934024043859498,12,0.23852805979600145,0.31117520205894006,0.3416103299635718,0.14044656274197892,0.13183470734979652,0.5795462112272219,0.0842739139998239,0.7239037457758297,0.16102337139252065,0.4976466632035798,0.4213695699991195,0.06426627960863322,0.30339700408018117,0.193472387285668,0.05584919975605325,0.8150898237995222
0.05,-10.0,-0.5,True,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,1.1674700086984902,0.0002656390988190205,12,-0.1691499232412286,0.47589768011343797,-0.10011297311077684,0.6745232444243711,0.36545439710597555,0.1130788023039059,0.23108784018803372,0.3269545523018818,0.1497930951055984,0.5284765504910204,0.3726009149611618,0.10568201640204218,0.09272522332285794,0.6974105643041063,-0.19374294629247554,0.4130985237287876
0.05,-5.0,-0.5,True,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,1.1674700086984902,0.0002656390988190205,12,-0.16344531274252988,0.49111475404858906,0.008280020332470264,0.972362449704623,0.3968586338927955,0.08318467998288774,0.33948083363128084,0.14309845954581865,0.1497930951055984,0.5284765504910204,0.3726009149611618,0.10568201640204218,0.09272522332285794,0.6974105643041063,-0.19374294629247554,0.4130985237287876
0.05,-3.0,-0.5,True,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,1.1674700086984902,0.0002656390988190205,12,-0.1549186565281563,0.514296257790244,0.008280020332470264,0.972362449704623,0.4389171657123296,0.052859453854808953,0.33948083363128084,0.14309845954581865,0.1497930951055984,0.5284765504910204,0.3726009149611618,0.10568201640204218,0.09272522332285794,0.6974105643041063,-0.19374294629247554,0.4130985237287876
0.05,-1.0,-0.5,True,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,1.1674700086984902,0.0002656390988190205,12,-0.09825104653025689,0.6802665578525162,0.10011297311077684,0.6745232444243711,0.6285739275131056,0.0029936712691736073,0.47045570070853776,0.036314159199412235,0.1497930951055984,0.5284765504910204,0.3726009149611618,0.10568201640204218,0.09272522332285794,0.6974105643041063,-0.19374294629247554,0.4130985237287876
0.05,-0.5,-0.5,True,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,1.1674700086984902,0.0002656390988190205,12,-0.004209176220522651,0.9859484534139548,-0.0037636456056683015,0.9874356549293403,0.7555739401400253,0.00011694170465913168,0.4087319127755776,0.07356541678491585,0.1497930951055984,0.5284765504910204,0.3726009149611618,0.10568201640204218,0.09272522332285794,0.6974105643041063,-0.19374294629247554,0.4130985237287876
0.05,0.0,-0.5,True,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,1.1674700086984902,0.0002656390988190205,12,0.1711752296555739,0.47055263552683385,0.1497930951055984,0.5284765504910204,0.47884866564421513,0.03267805740660889,0.3726009149611618,0.10568201640204218,0.1497930951055984,0.5284765504910204,0.3726009149611618,0.10568201640204218,0.09272522332285794,0.6974105643041063,-0.19374294629247554,0.4130985237287876
