sigma,omega,chi,psi,normalize_components,center,T00_sum,Taa_sum,Tgrad_sum,Fflux_sum,Taa_over_T00,Tgrad_over_T00,Fflux_over_T00,pearson_flux_abs_delta_R,pearson_flux_abs_delta_R_p,spearman_flux_abs_delta_R,spearman_flux_abs_delta_R_p,pearson_flux_delta_R,pearson_flux_delta_R_p,spearman_flux_delta_R,spearman_flux_delta_R_p,spearman_full_abs_delta_R,spearman_full_abs_delta_R_p,spearman_full_delta_R,spearman_full_delta_R_p,spearman_Fflux_abs_delta_R,spearman_Fflux_abs_delta_R_p,spearman_Fflux_delta_R,spearman_Fflux_delta_R_p
0.08,-0.5,0.5,-3.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.25044929129163584,0.2868688790139897,-0.11587663174975786,0.6266178237877467,0.07601322843470862,0.7500950912358516,0.006019565285701706,0.9799058008020177,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,-1.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.39184347091101623,0.08751570769376574,0.04815652228561365,0.8402202650901315,-0.0004774668729163531,0.9984059919186741,0.05568097889274078,0.8156376038245702,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,-0.5,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.5336702577802377,0.01537456446271715,0.01805869585710512,0.9397639709283465,-0.11375065015792195,0.6330004858997585,-0.14898424082111725,0.5307308016302537,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,0.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.38522362296405604,0.09348399746452063,0.30398804692793624,0.19256252343081348,-0.2541600103454511,0.27954935586785096,-0.2799097857851294,0.23198173549852916,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,0.5,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.09164758948186201,0.7007707714280784,0.19864565442815632,0.40114205651684726,-0.20296794063047136,0.3907606047683797,-0.267870655213726,0.2535206156287251,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,1.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,-0.013938273957494633,0.9534915813163182,0.17607228460677493,0.4577549275737357,-0.17087842198397662,0.47133404956900227,-0.32355163410646676,0.1640540669203976,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,3.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,-0.11770401066495706,0.621151956964301,0.25131685067804627,0.28514710023977824,-0.1333715019218798,0.5750944924339549,-0.27238532917800223,0.24529954949826438,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,5.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,-0.14216610610904956,0.5499079111925479,0.25131685067804627,0.28514710023977824,-0.1236376114288637,0.6035364942333127,-0.27238532917800223,0.24529954949826438,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.08,-0.5,0.5,10.0,True,12,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,-0.16128629762601587,0.4969355201539226,0.22121902424953774,0.3486018019330558,-0.11577983131825506,0.6269078897311683,-0.2603461986065988,0.2676073007156548,0.30398804692793624,0.19256252343081348,-0.2799097857851294,0.23198173549852916,0.26335598124944964,0.26191484740659116,-0.21068478499955975,0.3726018938767668
0.1,-0.5,0.5,-10.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.10158020303253565,0.6700095728851927,-0.021084361260221476,0.9296938494163114,0.34324194054748514,0.13843818988846707,0.43373543163884176,0.05605313642818212,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
