geometry,N_actual,k,epsilon,density,sigma,perturbation_strength,i,j,edge_distance_to_source,phi_edge,edge_weight_before,edge_weight_after,edge_factor,kappa_before,kappa_after,delta_kappa,abs_delta_kappa
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,55,86,0.22534695471649932,0.3972887848975144,0.6065306597126334,0.5342403110725374,0.8808133645307457,-0.005179787825860815,-0.0049007046264426535,0.00027908319941816195,0.00027908319941816195
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,247,248,0.4375,0.08418929256163467,0.9048374180359596,0.8819841314036366,0.9747432122315096,0.0,-0.0008599818158148143,-0.0008599818158148143,0.0008599818158148143
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,170,186,0.1767766952966369,0.5961829113983277,0.9048374180359596,0.7430028361679124,0.8211451265805016,0.01158235768765048,0.01153231353182893,-5.00441558215492e-05,5.00441558215492e-05
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,136,138,0.0,0.909365376538991,0.6703200460356393,0.4874502937161895,0.7271903870383027,0.0,-0.01012712491038914,-0.01012712491038914,0.01012712491038914
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,28,30,0.5038911092686593,0.026519220870360665,0.6703200460356393,0.6649871364292446,0.9920442337388918,0.043883866678744,0.043934527937908974,5.066125916497466e-05,5.066125916497466e-05
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,14,30,0.5762215285808054,0.01050109045404237,0.9048374180359596,0.9019868841640604,0.9968496728637873,0.01158235768765048,0.01294849459889258,0.0013661369112420996,0.0013661369112420996
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,34,67,0.40019526483955303,0.07802931301754841,0.6065306597126334,0.5923325085021963,0.9765912060947355,0.013308888991231727,0.01571966959498272,0.002410780603750995,0.002410780603750995
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,34,66,0.45069390943299864,0.050798650330813266,0.6703200460356393,0.6601046399471496,0.984760404900756,0.028740204150146886,0.029605911498753135,0.0008657073486062483,0.0008657073486062483
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,148,179,0.2576941016011038,0.3050492280007307,0.6065306597126334,0.5510241468613996,0.9084852315997808,-0.024317802852825254,-0.022902463041053034,0.0014153398117722205,0.0014153398117722205
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,1,226,0.5303300858899106,0.015420619611102363,0.6065306597126334,0.6037247361368635,0.9953738141166693,0.028582317875897156,0.029770473903003025,0.0011881560271058689,0.0011881560271058689
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,193,225,0.5038911092686593,0.026519220870360665,0.6703200460356393,0.6649871364292446,0.9920442337388918,-0.12634291339908965,-0.12612151307777575,0.00022140032131390264,0.00022140032131390264
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,107,124,0.22534695471649932,0.47473035435487143,0.8187307530779818,0.7021278509189994,0.8575808936935385,0.0,-0.0050018316302726795,-0.0050018316302726795,0.0050018316302726795
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,24,56,0.3125,0.18639919167978033,0.6703200460356393,0.6328359116113005,0.9440802424960659,-0.016150754495546815,-0.010817431980301162,0.005333322515245653,0.005333322515245653
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,114,145,0.3801726581436387,0.11966108246876325,0.6065306597126334,0.5847572251251214,0.9641016752593711,-0.01999163968457207,-0.019273342418458572,0.000718297266113499,0.000718297266113499
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,46,78,0.45069390943299864,0.050798650330813266,0.6703200460356393,0.6601046399471496,0.984760404900756,0.0,0.0003586902552765725,0.0003586902552765725,0.0003586902552765725
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,206,223,0.45069390943299864,0.049498552342336674,0.8187307530779818,0.8065729569673284,0.985150434297299,0.008598816586398383,0.011123534970732485,0.0025247183843341015,0.0025247183843341015
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,166,183,0.1767766952966369,0.6384253528741364,0.8187307530779818,0.6619212120951664,0.8084723941377591,-0.016311995072511687,-0.023063306824510965,-0.006751311751999278,0.006751311751999278
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,83,85,0.2651650429449553,0.29462659189666696,0.6703200460356393,0.6110718128425902,0.9116120224309999,0.0198837408472734,0.022290748622668,0.0024070077753945984,0.0024070077753945984
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,185,201,0.19764235376052372,0.51697279583068,0.9048374180359596,0.7645045191036806,0.844908161250796,0.10890876663549576,0.112857070648822,0.003948304013326243,0.003948304013326243
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,185,218,0.19764235376052372,0.4205504739032156,0.6065306597126334,0.53000763279894,0.8738348578290354,0.006752754212543399,0.01100190731070283,0.0042491530981594305,0.0042491530981594305
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,130,131,0.3125,0.22590184254088838,0.9048374180359596,0.8435160860556806,0.9322294472377335,1.1102230246251565e-16,0.004269397979434819,0.004269397979434708,0.004269397979434708
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,17,48,0.5896238207535377,0.009562575020659905,0.6065306597126334,0.6047906612318837,0.997131227493802,0.0,0.00035091957657795714,0.00035091957657795714,0.00035091957657795714
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,101,116,0.22534695471649932,0.47473035435487143,0.8187307530779818,0.7021278509189994,0.8575808936935385,-2.220446049250313e-16,-0.0050018316302726795,-0.0050018316302724575,0.0050018316302724575
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,196,211,0.3535533905932738,0.1419907583092771,0.8187307530779818,0.7838550929337813,0.9574027725072168,0.04681927000906294,0.05119271189301311,0.004373441883950169,0.004373441883950169
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,80,94,0.4192627457812106,0.06569517667030986,0.6703200460356393,0.6571090078806509,0.980291446998907,0.02062799330732723,0.024170061355243688,0.003542068047916458,0.003542068047916458
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,46,79,0.5038911092686593,0.03304896513950733,0.6065306597126334,0.6005170965239679,0.9900853104581478,0.0,-0.00023734667212105265,-0.00023734667212105265,0.00023734667212105265
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,202,234,0.2795084971874737,0.2516073622040275,0.6703200460356393,0.6197228084509865,0.9245177913387918,-0.09621204661014549,-0.09329955449240179,0.0029124921177436924,0.0029124921177436924
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,157,175,0.31868871959954903,0.17159150304722115,0.6065306597126334,0.5753080074493394,0.9485225490858337,0.03131281734817426,0.03452255655063974,0.003209739202465478,0.003209739202465478
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,122,123,0.13975424859373686,0.6926657213920191,0.9048374180359596,0.7168124591640487,0.7922002835823942,2.220446049250313e-16,-0.0032096983762728293,-0.0032096983762730513,0.0032096983762730513
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,159,175,0.4419417382415922,0.07636810584216422,0.9048374180359596,0.8841072021228034,0.9770895682473507,-0.02167011995861956,-0.022216850599013238,-0.0005467306403936778,0.0005467306403936778
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,3,21,0.4759858191164943,0.03335089351340135,0.6065306597126334,0.6004621578792267,0.9899947319459796,-0.022582417806827237,-0.021739050423634776,0.0008433673831924615,0.0008433673831924615
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,3,19,0.5376453291901642,0.018201046720367438,0.9048374180359596,0.8998967215999568,0.9945396859838898,-2.220446049250313e-16,0.0018685702070236898,0.0018685702070239119,0.0018685702070239119
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,199,213,0.2576941016011038,0.3050492280007307,0.6065306597126334,0.5510241468613996,0.9084852315997808,0.022618387661481387,0.02470326746770546,0.0020848798062240714,0.0020848798062240714
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,27,251,0.4759858191164943,0.05502322005640723,0.6703200460356393,0.6592550958152673,0.9834930339830779,0.06851095455539713,0.0718478297311177,0.003336875175720566,0.003336875175720566
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,71,104,0.125,0.6230728425133543,0.6065306597126334,0.4931568250470383,0.8130781472459937,-0.01999163968457207,-0.0207794436915838,-0.0007878040070117276,0.0007878040070117276
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,209,239,0.5376453291901642,0.019493880189669337,0.6065306597126334,0.6029835689090937,0.9941518359430992,0.007966869036760027,0.009079108814129211,0.0011122397773691839,0.0011122397773691839
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,153,184,0.08838834764831845,0.7712327848288665,0.6065306597126334,0.46619776078035424,0.76863016455134,-0.024317802852825254,-0.031540857025718516,-0.007223054172893262,0.007223054172893262
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,30,44,0.45069390943299864,0.044268906061666606,0.6065306597126334,0.5984755250731316,0.9867193281815,0.006886786897423058,0.008841363630486598,0.00195457673306354,0.00195457673306354
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,22,24,0.4375,0.07847239977990009,0.6703200460356393,0.6545395592457424,0.97645828006603,0.0,-0.0009633147450036628,-0.0009633147450036628,0.0009633147450036628
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,20,245,0.4759858191164943,0.04689871394406465,0.6065306597126334,0.5979970073401831,0.9859303858167806,0.05019807837696166,0.052564623755639306,0.0023665453786776425,0.0023665453786776425
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,125,142,0.31868871959954903,0.21891534062779966,0.8187307530779818,0.7649609365702255,0.9343253978116601,0.0,-0.0001055475399691641,-0.0001055475399691641,0.0001055475399691641
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,182,213,0.22534695471649932,0.3523646504068754,0.6065306597126334,0.5424146705514253,0.8942906048779373,0.024862972976980813,0.029176955815523486,0.004313982838542674,0.004313982838542674
