geometry,perturbation_strength,r_min,r_max,r_mid,n_edges,mean_delta_kappa,median_delta_kappa,mean_abs_delta_kappa,mean_phi_edge
sphere,-0.15,2.0605390360730977,2.3549017555121114,2.2077203957926046,91,0.00022186062953552857,0.00021458069538626834,0.00022186062953552857,0.008316470803721816
sphere,-0.15,2.3549017555121114,2.649264474951125,2.5020831152316183,65,9.134964295831434e-05,8.332737380700728e-05,9.134964295831434e-05,0.00227656442073085
sphere,-0.15,2.649264474951125,2.9436271943901393,2.7964458346706325,32,4.0850569191175357e-05,4.099972857629641e-05,4.0850569191175357e-05,0.0005800147386627482
sphere,0.15,0.0,0.29436271943901393,0.14718135971950697,35,0.002741765831766212,0.0026876885614706136,0.002741765831766212,0.8919141791002986
sphere,0.15,0.29436271943901393,0.5887254388780279,0.4415440791585209,73,0.0020321883735491095,0.0020543955618514964,0.002035739363342696,0.7205523405121453
sphere,0.15,0.5887254388780279,0.8830881583170418,0.7359067985975348,120,0.0004289217270057849,0.00034879883875421624,0.0009780789127610795,0.5033699020392647
sphere,0.15,0.8830881583170418,1.1774508777560557,1.0302695180365489,124,-0.00015762436029197416,-0.0003566857665466827,0.0007052650091702369,0.2984289596290216
sphere,0.15,1.1774508777560557,1.4718135971950697,1.3246322374755626,108,-0.0006192062516713984,-0.0007588290726714408,0.0007745707392735417,0.15638169104002664
sphere,0.15,1.4718135971950697,1.7661763166340836,1.6189949569145767,131,-0.0006136756520715008,-0.000614486932548397,0.0006266831231304768,0.06651126305677779
sphere,0.15,1.7661763166340836,2.0605390360730977,1.9133576763535907,120,-0.00040923105248366436,-0.00041012129452466795,0.00040923105248366436,0.022898776398042046
sphere,0.15,2.0605390360730977,2.3549017555121114,2.2077203957926046,91,-0.000220495106659833,-0.00021319347212334083,0.000220495106659833,0.008316470803721816
sphere,0.15,2.3549017555121114,2.649264474951125,2.5020831152316183,65,-9.122298468858729e-05,-8.31356805893746e-05,9.122298468858729e-05,0.00227656442073085
sphere,0.15,2.649264474951125,2.9436271943901393,2.7964458346706325,32,-4.083322076146867e-05,-4.0984315624992274e-05,4.083322076146867e-05,0.0005800147386627482
sphere,0.3,0.0,0.29436271943901393,0.14718135971950697,39,0.004980607715350309,0.00501465041716731,0.004980607715350309,0.8821922417562197
sphere,0.3,0.29436271943901393,0.5887254388780279,0.4415440791585209,70,0.0036272100648756128,0.0036705083841384045,0.003627227895576874,0.7143840655378279
sphere,0.3,0.5887254388780279,0.8830881583170418,0.7359067985975348,96,0.0007086248567416582,0.00021428053547578596,0.0018250301276314096,0.4870780851940544
sphere,0.3,0.8830881583170418,1.1774508777560557,1.0302695180365489,131,-1.5223652240822168e-05,-7.876213465707327e-05,0.0013499815010400921,0.3075908132704062
sphere,0.3,1.1774508777560557,1.4718135971950697,1.3246322374755626,122,-0.0015597306125082222,-0.0017671575184503574,0.0017540999377373176,0.15177690374152691
sphere,0.3,1.4718135971950697,1.7661763166340836,1.6189949569145767,130,-0.0012184996419587308,-0.0012814774773707294,0.0012455444531879925,0.06524393298299432
sphere,0.3,1.7661763166340836,2.0605390360730977,1.9133576763535907,122,-0.0008077750305396943,-0.0008291424551206683,0.0008077750305396943,0.024010148054880793
sphere,0.3,2.0605390360730977,2.3549017555121114,2.2077203957926046,90,-0.0004250818479735173,-0.00042036609189999297,0.0004250818479735173,0.008445517042705231
