name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,ds_mean,ds_slope,ds_fit_r2,ds_nfit,sersic_n_used,sersic_n_source,q_used,xi_used,amp_used,dw_discrete_fixed,dw_discrete_fixed_slope,dw_discrete_fixed_r2,dw_discrete_fixed_nfit,dw_discrete_adaptive,dw_discrete_adaptive_slope,dw_discrete_adaptive_r2,dw_discrete_adaptive_nfit,dw_discrete_adaptive_method,dw_heat_norm_adaptive,dw_heat_norm_slope,dw_heat_norm_r2,dw_heat_norm_nfit,dw_heat_norm_method,dw_heat_raw_adaptive,dw_heat_raw_slope,dw_heat_raw_r2,dw_heat_raw_nfit,dw_heat_raw_method,alpha_eff_dw_discrete_fixed,alpha_eff_dw_discrete_adaptive,alpha_eff_dw_heat_norm_adaptive,alpha_eff_dw_heat_raw_adaptive
J0822+2652,16.934,13.27234315362485,-0.2436410272092062,6.926,4.0,11.6899995803833,4.897783461428336,1.7892131127149076,0.999996658127392,0.0017882201169334,13.26801455856834,-0.2439672168666202,J0822+2652,3.85,3.85,measured,0.009010033581788,0.2439672168666202,1.6882691204028875,-0.8441345602014437,0.8884638573474813,39,3.85,sersic_n_final,1.0,2.4240999999999997,1.0,4.769210322132239,0.41935663661522715,0.7471900008853989,25,2.1655114082022764,0.9235693667669581,0.994563093314617,6,best_contiguous,2.1398644768971913,0.9346386285639943,0.999323917217238,33,fraction_window,2.660962198988095,0.7516078209455797,0.9899686774803438,41,fraction_window,1.4771971821657424,-0.2752549493350198,-0.28221398776251316,-0.07012152625618029
J0841+3824,6.218,12.675044145686796,0.7121867207289594,8.844,4.0,11.649999618530272,4.466831997992276,1.7892131127149071,0.999996658127392,0.001788220116933,12.669370534721166,0.7117389999090513,J0841+3824,4.05,4.05,measured,0.0091004436738303,-0.7117389999090513,1.6882025763851611,-0.8441012881925806,0.8884702024188355,39,4.05,sersic_n_final,1.0,3.0953999999999997,1.0,4.77190527546024,0.4191198032125867,0.7471736531927975,25,2.1666371048248627,0.9230895176429038,0.9945895160504479,6,best_contiguous,2.1381287674302967,0.9353973579447667,0.9993197988423476,33,fraction_window,2.6700463298295443,0.7490506728876424,0.9898884332875483,41,fraction_window,1.4794644070577707,-0.27500079325625126,-0.28273100294347575,-0.06540439435849965
J0912+0029,12.89,18.11130150197408,0.3400843188431066,11.286,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.10393876936026,0.3396777092135639,J0912+0029,4.966666666666666,4.966666666666666,measured,0.0091229702730837,-0.3396777092135639,1.6879853433453356,-0.8439926716726678,0.8884908051607168,39,4.966666666666666,sersic_n_final,1.0,3.9500999999999995,1.0,4.782906905983799,0.4181557448876624,0.7470197416748001,25,2.170843308256687,0.9213009489874772,0.9946760211174501,6,best_contiguous,2.1313777860510963,0.9383601598407826,0.9993085809961441,33,fraction_window,2.682378636615032,0.7456068925913664,0.989598676353377,42,fraction_window,1.488747674589824,-0.27401419304230323,-0.28468401735847637,-0.05904785679348157
J0935-0003,20.926,18.11126926009622,-0.144458049373878,10.561,4.0,11.960000038146973,9.120109194638909,1.789213112714907,0.999996658127392,0.0017882201169329,18.10440432934307,-0.1448371631748912,J0935-0003,3.35,3.35,measured,0.0085885603812804,0.1448371631748912,1.6884840082946173,-0.8442420041473087,0.8884432931372854,39,3.35,sersic_n_final,1.0,3.69635,1.0,4.762034011041727,0.41998860053552756,0.7471719649221218,25,2.162240306297793,0.9249665701701851,0.9944778855264176,6,best_contiguous,2.144710251131426,0.9325268991207155,0.9993384716150823,33,fraction_window,2.662060624938204,0.7512976906926855,0.9893568873193406,42,fraction_window,1.4711780467120015,-0.27596843176272845,-0.28073299239867744,-0.06938523885852055
J0936+0913,10.933,13.120446372218384,0.1823860667575783,6.687,4.0,11.68000030517578,4.786304286528679,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.116307414594004,0.18207055839154,J0936+0913,4.300000000000001,4.300000000000001,measured,0.0091387687815895,-0.18207055839154,1.688130876343851,-0.8440654381719255,0.8884770234503515,39,4.300000000000001,sersic_n_final,1.0,2.34045,1.0,4.775123805220026,0.41883730801150293,0.74714159940265,25,2.1679256487926435,0.922540863481105,0.9946180207478551,6,best_contiguous,2.1361030184725327,0.9362844313707979,0.9993156592344054,33,fraction_window,2.6805690272971594,0.7461102398906015,0.9898011096047629,41,fraction_window,1.4821759970389845,-0.27470463487598584,-0.28332632389037826,-0.05989923958719867
J0946+1006,17.706,11.829080313405298,-0.4033426321136346,8.406,4.0,11.59000015258789,3.890452816839944,1.7892131127149065,0.9999966581273918,0.001788220116933,11.823682944946782,-0.4037990158767699,J0946+1006,3.65,3.65,measured,0.0088811327771859,0.4037990158767699,1.6883456413316302,-0.8441728206658151,0.8884565462257695,39,3.65,sersic_n_final,1.0,2.9421,1.0,4.766411315200115,0.4196028978074108,0.747194937684124,25,2.1642886842641955,0.9240911411408826,0.9945327371334325,6,best_contiguous,2.141711509034584,0.9338325874251555,0.9993289130936359,33,fraction_window,2.651221191047834,0.7543693475117201,0.9900597275033964,41,fraction_window,1.4748460388033777,-0.27552606539742275,-0.28165631225271603,-0.07514260912656745
J0955+0101,3.7,6.136895563285108,0.505986186060156,2.972,4.0,11.020000457763672,1.047129651766654,1.7892131127149071,0.9999966581273918,0.0017882201169327,6.141180765435188,0.5066842110942646,J0955+0101,3.95,3.95,measured,0.0090629906528052,-0.5066842110942646,1.6882347165751495,-0.8441173582875747,0.8884671394158118,39,3.95,sersic_n_final,1.0,1.0402,1.0,4.770571050416677,0.41923702191277784,0.7471830492298374,25,2.16608559185137,0.9233245479882375,0.9945767507156886,6,best_contiguous,2.138983241133348,0.935023688610245,0.999321758458373,33,fraction_window,2.665582438829075,0.7503050631135426,0.9899273020141209,41,fraction_window,1.4783415452834054,-0.27512585156882974,-0.2824773069346844,-0.06772650560053384
J0956+5100,19.217,15.238727800587103,-0.231955234827994,8.334,4.0,11.8100004196167,6.456548528681109,1.7892131127149071,0.9999966581273918,0.0017882201169332,15.23341520531518,-0.2323039202043206,J0956+5100,4.666666666666667,4.666666666666667,measured,0.0091643463168532,0.2323039202043206,1.6880439392871525,-0.8440219696435762,0.8884852678723076,39,4.666666666666667,sersic_n_final,1.0,2.9168999999999996,1.0,4.779544799568281,0.4184498909144345,0.7470791286081783,25,2.1696131890885146,0.9218233047524147,0.994652643129299,6,best_contiguous,2.133391919801465,0.9374742547005248,0.9993111755230365,33,fraction_window,2.6723443801336257,0.7484065357998484,0.9896764992851893,42,fraction_window,1.4859066018217622,-0.2743085682305182,-0.2841103463135739,-0.06431250298654678
J0959+4416,13.567,13.738734193593542,0.0125787833989887,7.441,4.0,11.720000267028809,5.248077829311783,1.7892131127149071,0.9999966581273918,0.001788220116933,13.734021912067178,0.012235732155462,J0959+4416,3.45,3.45,measured,0.0087105748452182,-0.012235732155462,1.688434294957607,-0.8442171474788035,0.8884480591497521,39,3.45,sersic_n_final,1.0,2.6043499999999997,1.0,4.763514989210824,0.4198580259598053,0.7471845221986044,25,2.162954538804482,0.9246611355527837,0.9944975903507168,6,best_contiguous,2.1436787121406016,0.9329756314102083,0.9993349725482891,33,fraction_window,2.6676762447336233,0.7497161636267848,0.9892993946634665,42,fraction_window,1.4724176792545602,-0.2758158887137534,-0.28105323542667504,-0.0664772731148644
J0959+0410,5.054,7.127653798835318,0.3438021108359625,2.91,4.0,11.149999618530272,1.412536303897626,1.7892131127149071,0.999996658127392,0.001788220116933,7.1327790263265305,0.3445209147845838,J0959+0410,2.75,2.75,measured,0.0074795686488241,-0.3445209147845838,1.6888886415274484,-0.8444443207637242,0.8884043685701151,39,2.75,sersic_n_final,1.0,1.0185,1.0,4.7528897042124285,0.4207966362500321,0.7469307926859929,25,2.157107887804191,0.927167348145893,0.994317205779624,6,best_contiguous,2.1516435364368127,0.929521998477527,0.9993685054401038,33,fraction_window,2.644542108345411,0.7562745904814969,0.9897776464926051,41,fraction_window,1.463568363568065,-0.2770097091170851,-0.27849731828459756,-0.07819432591456632
