xi,h0,j0,ground_state_energy,mean_single_site_entropy,max_single_site_entropy,mean_mutual_information,max_mutual_information,corr_rho_sigma,rmse_normalized,kl_rho_ent_to_sigma,kl_sigma_to_rho_ent,R_ent_fit,R_sigma_fit,R_d_target,R_d_relative_error,verdict
2.5,0.2,1.0,-3.266061876165305,0.5559665089467768,0.9397168128449739,0.3071143183921743,0.8829508683412763,0.8946056150592754,0.12911532875800985,0.06375063664376351,0.05929297155270909,5.4557078149006655,2.999999999747567,3.0,0.8185692716335552,weak_or_failed_closure
2.5,0.3,1.0,-4.134587509138178,0.39732668778874664,0.8029271270950444,0.1651943685491066,0.6861237847431152,0.9644463287970418,0.07296242973145915,0.027506969531606293,0.0261659981946188,3.9397542270015933,2.999999999747567,3.0,0.3132514090005311,moderate_closure
2.5,0.5,1.0,-6.244701523701281,0.16923279105741204,0.4057934439115414,0.04820805178746823,0.30806514783114647,0.999207379741674,0.04180731226571335,0.02586798049924176,0.03692363694969263,2.6204813802090987,2.999999999747567,3.0,0.1265062065969671,strong_closure
2.5,0.8,1.0,-9.724713715604022,0.06258677754050625,0.15944337460191021,0.014916350466092016,0.1175178456703061,0.998537389925213,0.08268386847429646,0.05228477290699817,0.07627180601160763,2.0869289408883995,2.999999999747567,3.0,0.3043570197038668,moderate_closure
2.5,1.0,1.0,-12.09339371398055,0.039330165126935775,0.10151716948911553,0.008951761151977744,0.0746440008916831,0.9971151521601316,0.09482373006721775,0.06282878652134855,0.09145482156204002,1.9592390610323567,2.999999999747567,3.0,0.34692031298921444,moderate_closure
3.0,0.1,1.0,-3.1731514881746965,0.83473315595297,0.9926331802240798,0.6975298107554069,0.9851853262438908,0.7692550011167791,0.21712554943465803,0.23142336454314025,0.20687791363932662,15.841814093818495,2.999999999747567,3.0,4.2806046979394985,weak_or_failed_closure
3.0,0.2,1.0,-3.744773725811234,0.6606158256780343,0.9661704682085847,0.4361770915996298,0.9322317646700558,0.8405073043285163,0.166193202445984,0.11395955959688363,0.10770455523804445,7.539173925493462,2.999999999747567,3.0,1.5130579751644875,weak_or_failed_closure
3.0,0.3,1.0,-4.500627748366916,0.521908671874254,0.9003022836150572,0.27526137818022833,0.8156592572922667,0.9107855114869415,0.12314742937781066,0.058273317618188505,0.05453618031468457,5.358891925385205,2.999999999747567,3.0,0.786297308461735,weak_or_failed_closure
3.0,0.5,1.0,-6.420909243557792,0.2689723596878593,0.5810672588138202,0.09350283082765731,0.4513457783837864,0.9854665216865486,0.04551314924904873,0.015451933837720037,0.015887202444084397,3.4615589820636594,2.999999999747567,3.0,0.1538529940212198,strong_closure
3.0,0.8,1.0,-9.801582047975085,0.0993783743835423,0.23964270861046205,0.02633788874532994,0.17393872566363722,0.9998491803687799,0.04393300115655501,0.022958628352338147,0.03104320781887178,2.545251407085226,2.999999999747567,3.0,0.1515828643049247,strong_closure
