mode,omega2,omega,k2_line,k_line
345,62.0938954520624,7.879967985471921,62.092927421523825,7.879906561725451
346,62.10473858775918,7.880655974457912,62.10344089040813,7.880573639679293
347,62.10473858775924,7.880655974457916,62.10344089040814,7.880573639679293
348,62.11603394030254,7.881372592404355,62.113653164611875,7.881221552818565
349,62.16779886835723,7.884655913123745,62.165702801578156,7.884522991378626
350,62.16779886835738,7.884655913123754,62.16570280157813,7.884522991378624
351,62.18493961362084,7.885742806712684,62.182567899254714,7.885592425382808
352,62.301940834016584,7.893157849303192,62.29922860775967,7.892986038740958
353,62.30194083401674,7.8931578493032015,62.299228607759616,7.892986038740954
354,62.3083611755753,7.893564541800827,62.30559733707399,7.893389470758047
355,62.31235843474185,7.89381773508496,62.30955779872001,7.893640338824667
356,62.41059277287767,7.900037517181654,62.408088225810616,7.899879000706949
357,62.41059277287799,7.900037517181675,62.408088225810616,7.899879000706949
358,62.43163195115823,7.901368992216363,62.42960362297099,7.901240638214418
359,62.454418281106896,7.9028107835824395,62.45298560388103,7.902720139539362
360,62.533628931969254,7.90782074480506,62.531539765499396,7.907688648745561
361,62.61601302527964,7.913028056646813,62.613845470989084,7.912891094346559
362,62.61601302527979,7.913028056646823,62.613845470989105,7.91289109434656
363,62.63235949453888,7.914060872557077,62.63000812321262,7.913912314602217
364,62.671546295527264,7.916536256187252,62.66923761844878,7.916390441258489
365,62.67332215101689,7.916648416534417,62.67103434966218,7.916503922165528
366,62.67332215101715,7.916648416534433,62.6710343496622,7.9165039221655285
367,62.68481371239561,7.917374167765194,62.68245549881073,7.917225239868494
368,62.72445432321609,7.919877165917164,62.72201572345918,7.919723210028187
369,62.851002210825236,7.927862398580417,62.84863012558972,7.9277127928293245
370,62.85100221082545,7.92786239858043,62.84863012558972,7.9277127928293245
371,62.91521203639238,7.9319109952389395,62.912718210263165,7.931753791581227
372,62.93282583223339,7.933021229785875,62.93069821696021,7.932887129977345
373,62.940794281996645,7.933523446867516,62.938355188505824,7.933369724682307
374,62.94079428199706,7.933523446867543,62.938355188505795,7.933369724682305
375,62.98653867536358,7.936405904146006,62.98407029591137,7.93625039271767
376,63.0105734667054,7.937919971044392,63.008405138298784,7.937783389479634
377,63.023855653294234,7.9387565558652975,63.0220089302516,7.938640244415387
378,63.04171977943511,7.939881597318383,63.03971033942892,7.9397550553797895
379,63.041719779435375,7.939881597318399,63.03971033942891,7.939755055379789
380,63.0438942462667,7.9400185293402625,63.04172671524001,7.939882034088416
381,63.171308637321005,7.948038036982523,63.16895582666017,7.947890023563497
382,63.257148592509935,7.953436275755903,63.254878845024464,7.953293584737361
383,63.257148592510006,7.953436275755908,63.25487884502445,7.95329358473736
384,63.271044489469794,7.954309805977498,63.268681037739604,7.954161240365925
385,63.27126955593015,7.954323953418678,63.26899084827798,7.954180715088008
386,63.32391532643708,7.957632520193244,63.321565476522224,7.957484871271967
387,63.32391532643723,7.957632520193253,63.32156547652223,7.957484871271967
388,63.356539227174814,7.959682105911945,63.354201541426,7.9595352591358
389,63.36522161206433,7.960227484944405,63.36291570871754,7.960082644590917
390,63.373471352068066,7.960745653019449,63.371158480124215,7.960600384400929
391,63.37347135206812,7.960745653019453,63.37115848012422,7.960600384400929
392,63.399087710884494,7.962354407515687,63.39671386844349,7.962205339505098
393,63.4054153834472,7.962751746943214,63.40318542685848,7.962611721467931
394,63.48133765277773,7.967517659395411,63.47925158427462,7.967386747502259
395,63.54661584119649,7.971613126663668,63.5444352773044,7.9714763549360415
396,63.54661584119654,7.97161312666367,63.54443527730437,7.97147635493604
397,63.57513706854081,7.973401850436288,63.57296489195315,7.973265635356265
398,63.58534051498821,7.97404166749762,63.582959661404594,7.9738923783435025
399,63.58534051498846,7.974041667497635,63.58295966140456,7.9738923783435
400,63.60228295700554,7.975103946470262,63.6000228721326,7.974962248947176
401,63.62336792919195,7.976425761529531,63.621059148294705,7.97628103493694
402,63.62336792919208,7.976425761529539,63.62105914829473,7.9762810349369415
403,63.63612808508455,7.9772255882032415,63.63372038724686,7.977074676048034
404,63.69709498630982,7.981045983222363,63.694758531709184,7.980899606667734
405,63.6970949863101,7.981045983222381,63.69475853170917,7.980899606667733
