name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,sqrtM_proxy,sqrtM_shuffle,Phi_true_phi_mid_mean,Phi_true_phi_inner_minus_outer,Phi_true_force_mid_mean,Phi_true_force_inner_minus_outer,Phi_true_grad_rms,Phi_true_amp_used,Phi_shuffle_phi_mid_mean,Phi_shuffle_phi_inner_minus_outer,Phi_shuffle_force_mid_mean,Phi_shuffle_force_inner_minus_outer,Phi_shuffle_grad_rms,Phi_shuffle_amp_used
J1020+1122,21.84,15.06426378096754,-0.371417848989565,6.782,4.0,11.800000190734863,6.309576215861531,1.7892131127149065,0.9999966581273916,0.0017882201169333,15.074920558051543,-0.3707106780583116,J1020+1122,4.05,4.05,measured,0.0091004436738286,0.37071067805833274,2.5118869830988677,1.9724230826168974,161768.29628474684,1053390.311805719,49390.13265438429,-116131.20123269947,55724.79551134933,2.5118869830988677,206012.43386157916,1341495.873240816,62898.489154358336,-147893.4497356813,70965.70220778421,1.9724230826168974
J1023+4230,14.32,11.559690776324896,-0.2141330480988883,5.632,4.0,11.56999969482422,3.71534968021985,1.7892131127149071,0.9999966581273916,0.0017882201169333,11.567795508573568,-0.2134321736086297,J1023+4230,3.75,3.75,measured,0.0089574523705613,0.21343217360864644,1.9275242359617297,1.99526319125487,195302.25051459452,1270719.5349121646,71710.45932294338,-168716.58258549726,80948.78675494298,1.9275242359617297,188671.7622249772,1227578.7569225505,69275.89768453689,-162988.67449711685,78200.58498631424,1.99526319125487
J1029+0420,3.666,8.374269081873141,0.8260626506786912,2.979,4.0,11.289999961853027,1.949844428490234,1.789213112714908,0.9999966581273918,0.0017882201169331,8.380405346163293,0.8267951345703795,J1029+0420,3.25,3.25,measured,0.0084633731612585,-0.826795134570533,1.396368299729779,2.0892969566796866,234584.2584629764,1523661.631533832,162391.40312626812,-382562.1819960225,183508.336775542,1.396368299729779,156782.89331688668,1018329.5358163912,108533.25877781387,-255682.99487922114,122646.62671902335,2.0892969566796866
J1032+5322,5.765,7.210190714604466,0.2236902486274201,1.914,4.0,11.15999984741211,1.4454392628956645,1.7892131127149076,0.9999966581273916,0.0017882201169331,7.2157917724988225,0.2244667722618845,J1032+5322,,4.0,default_4,0.0090800974320569,-0.22446677226191958,1.2022642234116694,1.0232935315766702,333829.06398372026,2173527.785957361,361076.10890050477,-849080.6227965717,407418.9027198352,1.2022642234116694,392214.6748200181,2553670.683033414,424227.1387773785,-997582.0451878544,478675.1355698676,1.0232935315766702
J1100+5329,32.473,15.774301113996067,-0.7220268707707262,10.177,4.0,11.84000015258789,6.918312139914402,1.789213112714907,0.9999966581273918,0.0017882201169328,15.767677719890935,-0.7224468440537826,J1100+5329,4.55,4.55,measured,0.0091634329840274,0.7224468440538153,2.6302684539632835,1.678803649471296,173446.19268959743,1130673.234385479,35352.10700693796,-83054.40402792771,39858.9868642796,2.6302684539632835,271747.1144371438,1771484.1940958751,55387.97321928294,-130125.62746554735,62449.13483763853,1.678803649471296
J1103+5322,7.588,11.167256205953082,0.3864178912594798,7.779,4.0,11.539999961853027,3.467368199963294,1.7892131127149071,0.9999966581273916,0.001788220116933,11.162251642000626,0.3859696445654346,J1103+5322,3.05,3.05,measured,0.0081444070217517,-0.3859696445654767,1.8620870548831205,1.717908915291285,165802.6367036874,1075971.3584061514,43893.09035038501,-103470.8669949858,49627.51447573335,1.8620870548831205,179717.8774403786,1166273.9058181602,47576.885297725305,-112154.8182376524,53792.57975879498,1.717908915291285
J1106+5228,3.824,9.182199347424593,0.8759697610777837,2.449,4.0,11.369999885559082,2.3442281975923813,1.7892131127149071,0.999996658127392,0.0017882201169326,9.189335520197131,0.8767466339066325,J1106+5228,4.15,4.15,measured,0.0091153906227672,-0.8767466339067849,1.5310872599536518,1.949844428490238,271920.0670840547,1771097.7477891843,229999.1284219781,-540698.5599871888,259459.07594322087,1.5310872599536518,213521.31640437292,1390728.9987994307,180603.5031834254,-424575.7572049338,203736.50271487978,1.949844428490238
J1112+0826,25.802,13.897829394679489,-0.6187193390164496,5.502,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.907813518439596,-0.6180012024698223,J1112+0826,3.65,3.65,measured,0.0088811327771837,0.6180012024698556,2.3173934286556954,2.06538042793466,158170.5716602713,1028811.8881173086,59419.828446285064,-139831.82138474524,67087.4244238881,2.3173934286556954,177470.1831994864,1154345.16264777,66670.10006406372,-156893.78052652898,75273.27856749852,2.06538042793466
J1134+6027,7.788,10.788187223816744,0.325867672438624,5.369,4.0,11.510000228881836,3.2359382746997105,1.789213112714908,0.9999966581273916,0.0017882201169331,10.78491164165174,0.3255639995902677,J1134+6027,4.35,4.35,measured,0.0091467975678514,-0.3255639995903033,1.7988713891492383,2.6001593347759804,242541.6742480323,1580456.3290366174,93643.96471478607,-220070.13064917817,105608.99608785319,1.7988713891492383,167797.9014441853,1093409.0239056128,64785.81795695651,-152251.38603731478,73063.6001561031,2.6001593347759804
J1142+1001,12.591,11.29660086551371,-0.1084804009147881,4.435,4.0,11.550000190734863,3.548135450617081,1.7892131127149071,0.9999966581273916,0.001788220116933,11.304747056987676,-0.1077595419771131,J1142+1001,3.1500000000000004,3.1500000000000004,measured,0.0083253380787379,0.10775954197712202,1.883649503123413,1.9275242359617297,168861.85075721517,1096321.5667786393,78465.80147682418,-184908.07456023857,88692.28175792258,1.883649503123413,165018.18002781647,1071366.8531995942,76679.74556324171,-180699.15608960076,86673.44843305011,1.9275242359617297
J1143-0144,6.349,11.965974046820085,0.6337698058668626,5.165,4.0,11.600000381469728,3.981075202376568,1.7892131127149071,0.9999966581273916,0.0017882201169332,11.974485195423206,0.6344808322407154,J1143-0144,5.0,5.0,measured,0.0091176481993885,-0.6344808322407895,1.99526319125487,1.1885017054668563,250880.13983180973,1636738.7396214192,100882.39415118839,-236865.97682773304,113687.46867612717,1.99526319125487,421178.95706558455,2747765.987975903,169361.91742425878,-397651.90285001585,190859.14682248887,1.1885017054668563
J1153+4612,9.652,8.768947574729774,-0.0959483514610446,3.521,4.0,11.329999923706056,2.137961713919416,1.7892131127149065,0.9999966581273916,0.0017882201169331,8.77525772851837,-0.0952290080708335,J1153+4612,3.55,3.55,measured,0.0088128866711781,0.095229008070844,1.4621770460239814,2.0892969566796866,243941.8118030312,1586193.090580714,143127.06587614102,-336900.62130470015,161628.67268182087,1.4621770460239814,170720.64142862114,1110083.9987138978,100166.28279783891,-235777.0887288527,113114.47795305526,2.0892969566796866
J1204+0358,10.357,10.068081927913177,-0.0282924049101658,3.068,4.0,11.449999809265137,2.818381693478142,1.7892131127149071,0.9999966581273918,0.0017882201169334,10.075694839400816,-0.0275365474621778,J1204+0358,2.95,2.95,measured,0.0079411447588113,0.027536547462180632,1.678803649471296,1.698243727045763,178453.23722856265,1157499.8733199267,119690.32872403142,-282253.0747698085,135367.90119611772,1.678803649471296,176410.45376968445,1144249.782410018,118320.21385839643,-279022.077410225,133818.32256964457,1.698243727045763
J1205+4910,14.904,13.738786075654424,-0.0814067000693894,6.248,4.0,11.720000267028809,5.248077829311783,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.748472142645085,-0.0807019322591804,J1205+4910,4.45,4.45,measured,0.0091575699982273,0.08070193225918618,2.2908683570453765,1.7377999128939918,194802.12803579378,1269638.5249871504,64652.40383220762,-151913.86563013363,72903.67026869747,2.2908683570453765,256799.43265266396,1673710.9401808982,85228.53823968608,-200261.64439365646,96105.83490593574,1.7377999128939918
J1213+6708,6.917,10.542582467578384,0.421440379382503,3.315,4.0,11.489999771118164,3.09029380386682,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.55049378316763,0.4221905133000192,J1213+6708,3.75,3.75,measured,0.0089574523705583,-0.42219051330006907,1.7579231507283872,1.2022642234116694,214144.64053630127,1393316.1410973615,133586.1949514647,-314294.54654418415,150795.8603518341,1.7579231507283872,313117.3777467425,2037274.8782471917,195326.66777548345,-459554.271244664,220490.2454484479,1.2022642234116694
J1218+0830,8.303,11.828951699995631,0.3539331650895727,6.461,4.0,11.59000015258789,3.890452816839944,1.7892131127149071,0.9999966581273916,0.0017882201169331,11.824850494862288,0.353586395877532,J1218+0830,4.6,4.6,measured,0.0091646506801271,-0.3535863958775679,1.9724230826168974,1.7579231507283872,233810.19413711052,1524323.7997315666,75075.93236524795,-176366.6798660538,84641.96527189773,1.9724230826168974,262339.46827224526,1710320.1874986275,84236.61873031483,-197886.7568146001,94969.88893089496,1.7579231507283872
J1250+0523,15.46,14.55282263159587,-0.06047107305774,4.882,4.0,11.770000457763672,5.888442760205689,1.789213112714907,0.9999966581273918,0.0017882201169334,14.563625387888994,-0.0597290349642487,J1250+0523,3.35,3.35,measured,0.0085885603812877,0.05972903496425258,2.4266113739545707,2.1627187136929753,138950.6045162886,902861.1129956585,58731.34944873188,-138318.89030076182,66352.53821804984,2.4266113739545707,155905.21111594315,1013027.2762277706,65897.68691838597,-155196.41577139613,74448.80512212294,2.1627187136929753
J1251-0208,10.913,10.664635998279763,-0.0230215182842568,9.4,4.0,11.5,3.1622776601683795,1.7892131127149076,0.9999966581273918,0.0017882201169333,10.659084723830071,-0.0235421848834347,J1251-0208,3.1500000000000004,3.1500000000000004,measured,0.0083253380787355,0.023542184883437296,1.7782794100389228,2.213093640456349,178867.583733987,1161282.9586043037,39214.463796746015,-92410.58981954689,44325.301040327104,1.7782794100389228,143724.84553684742,933121.6442858978,31509.86128404975,-74254.35883995856,35616.5545047235,2.213093640456349
J1306+0600,11.376,9.838895165584168,-0.1451624482208795,3.674,4.0,11.43000030517578,2.691536695250786,1.7892131127149065,0.9999966581273918,0.0017882201169335,9.846076949810955,-0.1444327764181121,J1306+0600,,4.0,default_4,0.0090800974320567,0.14443277641812605,1.6405903496152798,2.1134881116278548,244637.9994090135,1592813.6478681609,137848.26578655306,-324154.0729933334,155540.5849381365,1.6405903496152798,189899.69196665252,1236417.9800754585,107004.40353074654,-251623.863633645,120738.02612553856,2.1134881116278548
J1313+4615,13.185,11.693566219397464,-0.1200410250276577,4.933,4.0,11.579999923706056,3.801893295314423,1.789213112714908,0.9999966581273916,0.0017882201169332,11.70193006240468,-0.1193260290076727,J1313+4615,,4.0,default_4,0.0090800974320587,0.11932602900768242,1.949844428490238,3.0199518530332417,205837.31415436423,1340186.250908323,86383.24875093767,-203132.63832978084,97470.22178203666,1.949844428490238,132899.71519989092,865296.8086717797,55773.70267067143,-131153.43008039237,62932.05278283219,3.0199518530332417
J1318-0313,22.8,12.970294614029036,-0.5640988228530577,9.522,4.0,11.670000076293944,4.677352234557798,1.7892131127149071,0.9999966581273916,0.0017882201169331,12.96426069313054,-0.5645641418790373,J1318-0313,,4.0,default_4,0.0090800974320527,0.5645641418790703,2.1627187136929753,1.883649503123413,185576.94909607363,1208273.0319211525,40347.10660875561,-94877.35567112,45525.50971315028,2.1627187136929753,213070.8184605653,1387282.876815442,46324.67053188551,-108933.76531182985,52270.27203334374,1.883649503123413
J1330-0148,2.016,4.101537893997885,0.7102466492669784,1.466,4.0,10.670000076293944,0.4677352234557798,1.7892131127149071,0.9999966581273918,0.0017882201169332,4.104551610964752,0.7109811567569432,J1330-0148,2.85,2.85,measured,0.0077416824833212,-0.7109811567571959,0.6839117073539389,1.396368299729779,425006.6718337254,2755255.0450652526,596053.868215456,-1406162.4577985224,674346.2382072592,0.6839117073539389,208159.29299016463,1349465.73841269,291934.59786514146,-688708.6781207607,330280.5474156218,1.396368299729779
J1402+6321,15.239,14.891793159318208,-0.0230476647760489,7.704,4.0,11.789999961853027,6.165949477018448,1.789213112714907,0.9999966581273916,0.0017882201169331,14.887005285501743,-0.0233692273714365,J1402+6321,3.95,3.95,measured,0.0090629906527992,0.023369227371438362,2.483132996240525,1.6405903496152798,159621.12165944782,1039142.2989503061,42884.48279221868,-100853.95347675357,48392.45539177679,2.483132996240525,241596.24848184193,1572804.89244125,64908.265639917896,-152648.57538390163,73244.91624097117,1.6405903496152798
J1403+0006,8.268,9.9528290133296,0.185464191886548,3.598,4.0,11.4399995803833,2.7542260421949853,1.7892131127149076,0.9999966581273918,0.0017882201169334,9.960127050236572,0.1861971857434552,J1403+0006,3.45,3.45,measured,0.0087105748452234,-0.1861971857434759,1.6595861056887,3.0199518530332417,209023.438089367,1358673.7392099644,119948.8821293968,-282415.3670646877,135483.14511024317,1.6595861056887,114866.86233770312,746646.3607627802,65916.7788056506,-155198.70592800653,74453.48677284973,3.0199518530332417
J1416+5136,27.02,12.529880184396902,-0.7684611259684826,4.355,4.0,11.640000343322754,4.365161773191001,1.7892131127149071,0.9999966581273916,0.0017882201169331,12.539130251952496,-0.7677231576311305,J1416+5136,4.25,4.25,measured,0.0091283829740272,0.7677231576311735,2.0892969566796866,1.9724230826168974,204050.25888314858,1329347.0009237216,97091.95524006299,-228210.9936797543,109512.4803381642,2.0892969566796866,216141.04338221846,1408116.0662324054,102845.0374535204,-241733.3972917615,116001.527760682,1.9724230826168974
J1420+6019,1.528,7.293691701944933,1.563050133397781,2.729,4.0,11.170000076293944,1.4791086480080775,1.7892131127149071,0.9999966581273918,0.0017882201169334,7.299000302797708,1.5637777032094689,J1420+6019,3.1500000000000004,3.1500000000000004,measured,0.0083253380787309,-1.5637777032099867,1.216186107472075,2.187762392612296,261536.07515022368,1698001.2856257798,197501.5738142404,-465421.0502751738,223242.0354017611,1.216186107472075,145388.97920472015,943925.8942585242,109791.93674028227,-258729.47505302946,124101.16516128868,2.187762392612296
