N,A_size,state_kind,Jxy,Jz,eta_micro,energy_baseline,energy_perturbed,S_A_baseline,S_A_perturbed,fit_rel_err_baseline,fit_r2_baseline,fit_rel_err_perturbed,fit_r2_perturbed,xxz_regime_baseline,xxz_regime_perturbed,mean_abs_xx_baseline,mean_abs_yy_baseline,mean_abs_zz_baseline,mean_abs_cross_baseline,eta_eff_baseline,amplification_baseline,delta_near,delta_far,locality_score,compact_locality,xi_upper_bound
10,3,thermal,1.0,1.5,1.5,-21.161364325208055,-21.183879234871746,1.0563007905370108,1.0386670646396132,1.1529387547283948e-15,1.0,0.007260497780433657,0.9999472851719803,xxz_like,xxz_like,0.3663086042574344,0.3663086042574342,0.6929801159842789,2.3285643210659157e-16,1.89179317092226,1.2611954472815066,0.003911829852027401,0.007120676049114522,-0.0032088461970871205,False,nan
10,4,thermal,1.0,1.5,1.5,-21.161364325208055,-21.183879234871746,1.1242898009426958,1.1082879404311798,0.009119447278618955,0.9999168356813325,0.009449988319470623,0.9999106977207619,xxz_like,xxz_like,0.37021231189100584,0.3702123118910044,0.6609959080166641,2.6267568367346585e-15,1.7854509069143791,1.190300604609586,0.0067899788034046,0.001267022458171108,0.005522956345233492,False,nan
10,5,thermal,1.0,1.5,1.5,-21.161364325208055,-21.183879234871746,1.1615099801958189,1.1445897308062083,0.01787191160480958,0.9996805947755899,0.017934210091702655,0.9996783641083866,xxz_like,xxz_like,0.3630347355128826,0.36303473551289567,0.6108333613086303,4.980999698348902e-14,1.6825755266797147,1.1217170177864764,0.006858217514442633,0.00039021026213416365,0.00646800725230847,False,nan
10,6,thermal,1.0,1.5,1.5,-21.161364325208055,-21.183879234871746,1.1735009927512505,1.1571396304088108,0.03144121199037351,0.9990114501885764,0.031467905087372856,0.9990097709494121,xxz_like,xxz_like,0.34470251623907694,0.34470251623923465,0.5648514006673365,1.0269611907760862e-11,1.638663409916743,1.0924422732778287,0.0057077739500951095,0.0005196681261527316,0.005188105823942378,False,nan
10,3,random,1.0,1.5,1.5,-0.08091105545426179,-0.08068678583952969,2.054000435690785,2.0527397969331007,0.07221610481035572,0.9947848342060197,0.0590357984133948,0.996514774505693,generic_anisotropic,generic_anisotropic,0.014100104151392968,0.027354704187065853,0.027000031116782713,0.021884089792368507,1.302624819603086,0.8684165464020573,0.033242770585234074,0.03120588307812404,0.0020368875071100356,False,nan
10,4,random,1.0,1.5,1.5,-0.08091105545426179,-0.08068678583952969,2.6501773485259035,2.6571315798809563,0.1584727744351931,0.9748863797628124,0.14744596695569848,0.9782596868284991,generic_anisotropic,generic_anisotropic,0.023773309767308782,0.04207771446752292,0.0157635632188126,0.025949480636367393,0.4787644050181534,0.3191762700121023,0.03445092517305234,0.028597560134692127,0.00585336503836021,False,nan
10,5,random,1.0,1.5,1.5,-0.08091105545426179,-0.08068678583952969,2.987744244703809,2.96672037411876,0.39499185336088977,0.8439814357785294,0.3651800312806826,0.8666435447538396,generic_anisotropic,generic_anisotropic,0.04599958682983139,0.04944427597137248,0.06464590223091693,0.0473378664589377,1.3546371727549469,0.9030914485032979,0.07654255556970385,0.06374482127414817,0.012797734295555682,False,nan
10,6,random,1.0,1.5,1.5,-0.08091105545426179,-0.08068678583952969,2.6664277582062366,2.638262284131674,0.4404104212394448,0.8060386608636948,0.43692468315984845,0.8090968212456661,generic_anisotropic,generic_anisotropic,0.1100792929218818,0.1271857215137531,0.13057985289812488,0.11311815060766787,1.1007088694363618,0.7338059129575746,0.18772884615869448,0.1788214760751328,0.008907370083561683,False,nan
10,3,ground,1.0,2.0,2.0,-24.978334624837164,-25.012816020318155,1.0114070925142038,0.9339607473794562,1.7013212619212818e-15,1.0,0.015820873544300215,0.9997496999602953,xxz_like,xxz_like,0.3184245326103148,0.3184245326103153,0.8644752859460368,4.0018521093785383e-16,2.7148513930739555,1.3574256965369778,0.00492231010502895,0.018449491161982894,-0.013527181056953944,False,nan
10,4,ground,1.0,2.0,2.0,-24.978334624837164,-25.012816020318155,1.0583478647382767,0.9811826086175147,0.007147566577562738,0.9999489122920193,0.009814610196717258,0.9999036734266865,xxz_like,xxz_like,0.3429190600697328,0.3429190600696947,0.8382858071758825,2.6240945180666664e-15,2.444558803484015,1.2222794017420076,0.010634855931072966,0.003454076286400684,0.007180779644672282,False,nan
