galaxy,f_lambda_opt,class_P14_lambda,bridge_best_error,bridge_best_verdict,beta_grav,beta_mod_bridge,beta_mod_ML,mi_ds_graph,mi_dw_graph,mi_norm_lambda2,delta3_proxy,Rd_fit,lambda_corr,mean_MI,max_MI,sigma_source,d_min,regime_LOW_HIGH
NGC2955,1.5,extended_1p5_2Rd,0.1070594346336096,strong_bridge,0.4530081697016217,1.3128921009049992,1.4703017779982868,1.8495854085693293,2.292228000759033,0.2150085459863017,0.0093920973184641,1.6983849850275647,2.547577477541348,0.0582067158775072,7.928917615145537,SBdisk+SBbul,,
NGC2976,1.0,standard_1Rd,0.2615785265761,moderate_bridge,0.8163047974544586,1.939942080406396,2.6271474357473728,2.432013047725251,3.0242891329167896,0.7954559564859124,0.0760870737605562,1.5073265208686957,1.5073265208686957,0.3916695178032938,1.906987385343232,SBdisk+SBbul,,
NGC2998,1.0,standard_1Rd,0.1052291062786754,strong_bridge,0.4545673441133138,1.3155832359395796,1.4703017779982868,1.7661116572338915,2.491326310695513,0.1943352566669761,0.006560440287829,2.4809703096576694,2.4809703096576694,0.0617681693939476,7.642583069476191,SBdisk+SBbul,,
NGC3109,1.0,standard_1Rd,0.1928336409645031,strong_bridge,0.8260965455293601,1.956842637583676,2.424336217284818,2.419798352750922,1.5703661480847566,0.6789303950294541,0.0636574655009229,1.692354344217481,1.692354344217481,0.1716828279607781,3.135360389781805,SBdisk+SBbul,,
NGC3198,1.5,extended_1p5_2Rd,0.1111222311760338,strong_bridge,0.5422654910580751,1.4669502375662375,1.6503396631317406,1.8304052642722028,2.756434803912019,0.2921766454285812,0.0027571941997541,1.1804470594404606,1.7706705891606909,0.0559420592516496,9.005552759108765,SBdisk+SBbul,2.47330854021291,HIGH_massive
NGC3521,1.0,standard_1Rd,0.1293712126469722,strong_bridge,0.4227171176428146,1.260609745051498,1.4479302354383767,1.795610269549589,2.2477103104600102,0.2028631273102054,0.0070856014928646,0.989594988188126,0.989594988188126,0.0398534481973885,6.637003050442416,SBdisk+SBbul,,
NGC3726,0.5,short_0p5Rd,0.2106405027504003,moderate_bridge,0.3887196539918403,1.2019301227899164,1.5226650556278285,1.7324279519575028,2.2087290717595853,0.2070789744948468,0.0041906302658586,3.353812833931353,1.6769064169656764,0.0102564074100519,2.2266930887308742,SBdisk+SBbul,,
NGC3741,1.0,standard_1Rd,0.2260617321859485,moderate_bridge,0.1426967133806198,0.7772945272949499,1.0043365984348829,1.2867170688486391,1.996276060139182,0.0292885052227221,0.0038055662445172,0.1868714778365809,0.1868714778365809,0.0172161954693194,6.032980570229862,SBdisk+SBbul,,
NGC3769,1.5,extended_1p5_2Rd,0.0401536599701975,strong_bridge,0.529675373841274,1.4452196952500391,1.5056781851198873,1.917816481288424,2.5625441762691032,0.2435145598491216,0.0105149360585579,1.439257105286022,2.158885657929033,0.031504198527205,6.855451993181992,SBdisk+SBbul,,
NGC3877,2.0,extended_1p5_2Rd,0.2635325715025675,moderate_bridge,0.8133305424614665,1.934808516288492,2.6271474357473728,2.432103771741529,3.0113926136284985,0.7981447584542412,0.0757330966669201,3.652599611897944,7.305199223795888,0.3673115716510777,2.804685291197609,SBdisk+SBbul,,
NGC3893,1.5,extended_1p5_2Rd,0.2128564217774712,moderate_bridge,0.6785483001633184,1.702174366081887,2.1624699904503006,2.3527350110754948,1.9770472480730257,0.5342903350457221,0.0312254744729888,1.5682761801376328,2.352414270206449,0.0550604444188323,4.756007181459427,SBdisk+SBbul,,
NGC3917,0.5,short_0p5Rd,0.2147022894124207,moderate_bridge,0.6770246443576884,1.6995445361613704,2.164204114245703,2.333130766575924,2.447532997258062,0.4622430631121735,0.034597557469355,4.385969150828564,2.192984575414282,0.0782285200189532,2.546000350638707,SBdisk+SBbul,,
NGC3949,0.5,short_0p5Rd,0.011720739266903,strong_bridge,0.5441053312833293,1.4701258017950265,1.487561117800347,2.0271743785354706,2.396267010501822,0.1589385806655016,0.0210697654557228,1.5652968026245646,0.7826484013122823,0.0254626358492164,1.558290515965959,SBdisk+SBbul,,
NGC3953,0.5,short_0p5Rd,0.0178903607343216,strong_bridge,0.6327086242528965,1.6230550854604997,1.6526210726065726,2.21426583423884,2.4789952215751194,0.248800704806887,0.0329545588853667,4.718958070410778,2.359479035205389,0.0463567407358646,1.4842725208165055,SBdisk+SBbul,,
NGC3972,2.0,extended_1p5_2Rd,0.2712922170539061,moderate_bridge,0.8015195732189939,1.914422783375984,2.6271474357473728,2.4320763464388344,2.959425077856607,0.7958549811295429,0.0754704883123847,2.775889335256539,5.551778670513078,0.3527871826056717,2.732540747809653,SBdisk+SBbul,,
NGC3992,0.5,short_0p5Rd,0.0885746003902886,strong_bridge,0.4526079756941368,1.3122013660480802,1.43972437745315,1.9042817397363043,2.0167517772009504,0.139393415105573,0.0102908414162602,6.608113971792784,3.304056985896392,0.0120500566092222,1.437672430468282,SBdisk+SBbul,,
NGC4010,0.5,short_0p5Rd,0.2356759233265851,moderate_bridge,0.6450593293349636,1.644372402432147,2.151407305640543,2.240998773705981,2.490431561795828,0.3729708432445253,0.0257502756623379,2.813542027599071,1.4067710137995355,0.0605365081844105,2.2636386196578875,SBdisk+SBbul,,
NGC4013,1.0,standard_1Rd,0.0057494150674973,strong_bridge,0.568797744037767,1.5127449062091858,1.504097226949581,2.1242948665697443,2.2458129202127632,0.223153701274843,0.0159287409194532,2.1398464795251364,2.1398464795251364,0.0108581200408595,2.143016020311624,SBdisk+SBbul,,
NGC4051,2.0,extended_1p5_2Rd,0.2422056294072057,moderate_bridge,0.8457923160641099,1.9908375375266536,2.6271474357473728,2.4333598469434845,3.1433021255451288,0.8224840292141534,0.0771964509111985,5.331969478575007,10.663938957150014,0.436987259209492,2.0332924175180995,SBdisk+SBbul,,
NGC4068,0.5,short_0p5Rd,0.2491220177932661,moderate_bridge,0.7114807889891623,1.759015841795294,2.3426120934133303,2.368729403523876,2.60287377949918,0.4835652418527288,0.0470009584902702,0.9668312217307866,0.4834156108653933,0.1071951770810543,1.7907054467055823,SBdisk+SBbul,,
NGC4085,0.5,short_0p5Rd,0.0362500739341339,strong_bridge,0.5890382143115498,1.5476799579017348,1.4935390566737932,2.132880826204934,2.402596834738609,0.2708689413550974,0.021590459538776,1.4586660563443865,0.7293330281721933,0.0374523911651253,1.789541807683733,SBdisk+SBbul,,
NGC4088,2.0,extended_1p5_2Rd,0.2056412017052782,moderate_bridge,0.854071231898835,2.005126946257389,2.5242081419150475,2.432010638051405,1.5308883307457026,0.8037133917680376,0.072256222598061,4.093259438213155,8.18651887642631,0.2028833675322171,3.759384645154037,SBdisk+SBbul,,
NGC4100,0.5,short_0p5Rd,0.0175108651516683,strong_bridge,0.5712270909051362,1.5169379589022651,1.490832197331036,2.1446690544290807,2.096595442077254,0.3280159188163147,0.0138702535171736,3.669177640331005,1.8345888201655025,0.023149235443021,2.1119202588465327,SBdisk+SBbul,,
NGC4138,1.0,standard_1Rd,0.008596493635206,strong_bridge,0.5554697054636066,1.489740711630185,1.5026583041779402,2.0809153912240617,2.3067164519709435,0.2721974956926258,0.0102704478127003,1.285599399199154,1.285599399199154,0.0145708523591077,2.399513875874233,SBdisk+SBbul,,
NGC4157,0.5,short_0p5Rd,0.065573361585843,strong_bridge,0.5259330696111979,1.4387604781489276,1.539725451952751,1.928656188023896,2.5230169926025376,0.323549649141705,0.0042273261686602,2.994486991415694,1.497243495707847,0.0187758680424593,3.756016256331696,SBdisk+SBbul,,
NGC4183,0.5,short_0p5Rd,0.0715023480513289,strong_bridge,0.4637105932962542,1.3313644840293346,1.433891061797682,1.9234460353292016,2.0599770130153026,0.2683077738511824,0.0083602526278875,2.7680753700379577,1.3840376850189788,0.033198096283308,4.21882539901898,SBdisk+SBbul,,
NGC4214,1.0,standard_1Rd,0.2591012677653656,moderate_bridge,0.6173040636060878,1.5964668137841076,2.1547706107810214,2.222163725033897,2.31389767412041,0.4743673082353088,0.0130087822136167,0.4281325585111507,0.4281325585111507,0.0481594268462438,6.086461675150306,SBdisk+SBbul,,
