galaxy,rotmod,n_points_rotmod,sigma_source,Rd_fit,lambda_corr,n_rings,n_theta,ml_mode,beta_grav,beta_mod_bridge,beta_mod_ML,bridge_consistency,verdict,N_graph,n_edges_input,mi_rho_graph,mi_mean_degree_weighted,mi_std_degree_weighted,mi_mean_degree_binary,mi_std_degree_binary,mi_lambda2,mi_norm_lambda2,mi_clustering_binary,mi_effective_diameter_90,mi_mean_shortest_path,mi_laplacian_trace,mi_ds_graph,mi_ds_fit_r2,mi_dw_graph,mi_dw_fit_r2,mi_ds_over_dw,mi_alpha_eff_graph,delta3_proxy,mean_MI,max_MI,lambda_corr_factor,result_dir
NGC3877,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3877_rotmod.dat,13,SBdisk+SBbul,3.652599611897944,3.652599611897944,12,12,trained_gradient_boosting,0.7491108887298328,1.8239653939476912,2.546428571041414,0.2837162547222978,moderate_bridge,144,10296.0,1.0,27.62293077832106,22.615481860352823,143.0,0.0,2.742777082777465,0.6328602855950166,1.0,16.560325273197197,8.370426560987694,3977.7020320782326,2.4155296143829075,0.8785288759941761,2.726018176404579,0.973152351291009,0.8861018005275432,0.4982217774596655,0.0649267060569881,0.1931673481001473,2.637005857634153,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3893,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3893_rotmod.dat,10,SBdisk+SBbul,1.5682761801376328,1.5682761801376328,12,12,trained_gradient_boosting,0.5585473551619407,1.4950527350095095,2.1564225745937367,0.3066976980190569,moderate_bridge,144,10110.0,0.981934731934732,4.206437848782546,8.410383242802876,140.41666666666666,5.203497755249721,0.0001602767594046,0.360074619594998,0.98461185572886,14478.963201372078,2636.750714798382,605.7270502246866,2.118696368636421,0.8973224074311306,2.073529884033261,0.9993434720746068,1.0217824131453106,0.1170947103238813,0.0127977654353109,0.0294156492921856,3.927365853649466,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3917,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3917_rotmod.dat,17,SBdisk+SBbul,4.385969150828564,4.385969150828564,12,12,trained_gradient_boosting,0.7126770712393848,1.7610806249591784,2.54059824255396,0.3068244339219742,moderate_bridge,144,10296.0,1.0,26.51977442441793,26.494700434849985,143.0,0.0,0.6411496384577099,0.6804749048978924,1.0,56.83175876990932,19.76624582912823,3818.847517116182,2.421438188730272,0.878154555836128,2.44303211053299,0.9838258947026168,0.99116101597289,0.4253541424787697,0.0662921228821205,0.1854529680029226,2.8213125789887483,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3949,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3949_rotmod.dat,7,SBdisk+SBbul,1.5652968026245646,1.5652968026245646,12,12,trained_gradient_boosting,0.7124272586191971,1.7606494483767343,2.3242488983558944,0.242486701995571,moderate_bridge,144,10296.0,1.0,11.962083168616989,11.145583074868105,143.0,0.0,0.8487295367420378,0.3934887048453454,1.0,34.27836345493033,16.768734376988725,1722.539976280846,2.353881448108072,0.8832335665426512,2.6449448634228765,0.9778896072878198,0.8899548269077588,0.4248545172383942,0.0506568445484231,0.0836509312490698,2.1236671861960588,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3953,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3953_rotmod.dat,8,SBdisk+SBbul,4.718958070410778,4.718958070410778,12,12,trained_gradient_boosting,0.7348181123257227,1.799296061874197,2.3426470372022723,0.2319388993302964,moderate_bridge,144,10296.0,1.0,19.839061526260068,14.893906349865562,143.0,0.0,1.997835527794908,0.5032995263141529,1.0,19.40353551724365,9.495261777219229,2856.82485978145,2.395418726384438,0.8800579809299767,2.686010468655293,0.9754658901499564,0.8918128779980762,0.4696362246514454,0.0611841578924724,0.1387346959878326,1.8768000842111268,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3972,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3972_rotmod.dat,10,SBdisk+SBbul,2.775889335256539,2.775889335256539,12,12,trained_gradient_boosting,0.7455908048018691,1.817889729088026,2.546428571041414,0.2861022100672696,moderate_bridge,144,10296.0,1.0,26.29649157771448,22.132036189523543,143.0,0.0,2.297414437359596,0.6283390084168999,1.0,18.31375791287416,9.122184738556278,3786.694787190885,2.4155803395155755,0.8785333484042208,2.7055009955778027,0.9734688839263298,0.8928403070129678,0.4911816096037382,0.0651907312373627,0.1838915494945068,2.5196363400434345,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC3992,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3992_rotmod.dat,9,SBdisk+SBbul,6.608113971792784,6.608113971792784,12,12,trained_gradient_boosting,0.689342090748037,1.720804448631112,1.485616617337039,0.1583099088617129,strong_bridge,144,10296.0,1.0,6.308342310472982,8.585000877511801,143.0,0.0,0.0010611985612889,0.3532142169803359,1.0,9334.489916187818,1637.6568799227434,908.4012927081094,2.326110824015755,0.885134218563109,1.813846228867408,0.9940191272402928,1.282418976314333,0.3786841814960739,0.0380314449090496,0.0441142818914194,2.386201592130474,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4010,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4010_rotmod.dat,12,SBdisk+SBbul,2.813542027599071,2.813542027599071,12,12,trained_gradient_boosting,0.7403115350001586,1.8087777094102733,2.541788194630885,0.2883837790925999,moderate_bridge,144,10296.0,1.0,22.50563051956779,22.763549416301043,143.0,0.0,1.3256674865586924,0.6194823069318248,1.0,28.174264267960528,13.73466877170116,3240.810794817762,2.4107760375584384,0.8787780674232444,2.6846579074821326,0.9742001467452746,0.8979825812590921,0.4806230700003171,0.0609028161749713,0.1573820316053691,2.656572983068946,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4013,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4013_rotmod.dat,36,SBdisk+SBbul,2.1398464795251364,2.1398464795251364,12,12,trained_gradient_boosting,0.568797744037767,1.5127449062091858,1.504097226949581,0.0057494150674973,strong_bridge,144,8538.0,0.8292540792540792,1.552711165842919,3.2450739379007043,118.58333333333331,20.742301115246484,3.6741660277010015e-06,0.223153701274843,0.8996010993679623,1316607.4879846445,517571.5487434618,223.5904078813803,2.1242948665697443,0.8985987658397971,2.2458129202127632,0.9980456442504086,0.9458912839313852,0.1375954880755339,0.0159287409194532,0.0108581200408595,2.143016020311624,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4051,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4051_rotmod.dat,7,SBdisk+SBbul,5.331969478575007,5.331969478575007,12,12,trained_gradient_boosting,0.7826636935176761,1.881877535011509,2.550274743497787,0.2620883142847382,moderate_bridge,144,10296.0,1.0,35.03299207568831,22.00648708278341,143.0,0.0,6.773812560314436,0.6652691165349873,1.0,9.864614032499825,5.50526837625309,5044.750858899117,2.4227376401934406,0.8781284259465281,2.886880754942523,0.9662899579479138,0.8392233160464145,0.5653273870353521,0.0705178685123512,0.2449859585712469,1.868610389920884,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4068,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4068_rotmod.dat,6,SBdisk+SBbul,0.9668312217307866,0.9668312217307866,12,12,trained_gradient_boosting,0.7681319468742709,1.8567957403049915,2.554962128265934,0.2732589967722111,moderate_bridge,144,10296.0,1.0,35.66861527111906,25.798108616752256,143.0,0.0,4.5892126805002205,0.6972246457822149,1.0,13.40566563602789,6.79226396981697,5136.280599041144,2.42497604321819,0.8779763208057435,2.8107832548016463,0.968123735452584,0.8627403194734479,0.5362638937485418,0.0708592391971854,0.2494308760218116,2.003795074524228,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4085,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4085_rotmod.dat,7,SBdisk+SBbul,1.4586660563443865,1.4586660563443865,12,12,trained_gradient_boosting,0.7190479195747219,1.7720767091859702,2.3072604799356453,0.2319563722448029,moderate_bridge,144,10296.0,1.0,16.443317745306697,15.914647780002644,143.0,0.0,0.7776450111930938,0.5159933507688252,1.0,33.376285116391784,15.049725847416369,2367.8377553241644,2.3887744165411817,0.8802882108850563,2.6019641457737914,0.9788960221661256,0.918065846687826,0.4380958391494438,0.0546210048893729,0.1149882359811657,2.436828184495149,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4088,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4088_rotmod.dat,12,SBdisk+SBbul,4.093259438213155,4.093259438213155,12,12,trained_gradient_boosting,0.7699840701665064,1.8599925051073904,2.3712265530025247,0.2155989891593417,moderate_bridge,144,10296.0,1.0,14.905376137337893,21.01582866197596,143.0,0.0,0.0020065592682934,0.6463621203387725,1.0,12768.391151111804,2218.6733889089032,2146.3741637766566,2.4160262788965343,0.8784351729332194,1.7036139429381807,0.9864464752555824,1.418177098697416,0.5399681403330128,0.0580361394355644,0.1042333995618034,3.3677138420336745,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4100,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4100_rotmod.dat,24,SBdisk+SBbul,3.669177640331005,3.669177640331005,12,12,trained_gradient_boosting,0.7307455446968509,1.792266810146765,2.268186079318586,0.2098237325020519,moderate_bridge,144,10296.0,1.0,10.264753472564536,15.44980826864632,143.0,0.0,0.0010372307810662,0.5638382071864376,1.0,16352.538090615364,2888.9664588604705,1478.1245000492931,2.400453185193117,0.87938886987997,1.8120340511853703,0.9922225111320484,1.3247285191041656,0.4614910893937018,0.0500263109316871,0.0717814928151366,3.052038284618754,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4138,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4138_rotmod.dat,7,SBdisk+SBbul,1.285599399199154,1.285599399199154,12,12,trained_gradient_boosting,0.5554697054636066,1.489740711630185,1.5026583041779402,0.008596493635206,strong_bridge,144,9588.0,0.9312354312354312,2.083631887352411,4.041066394747154,133.16666666666666,12.307405178274673,4.107743072722738e-05,0.2721974956926258,0.9497147926041678,58185.597282201255,11317.315736893108,300.0429917787472,2.0809153912240617,0.8995263474481764,2.3067164519709435,0.994830353402231,0.9021114794781347,0.1109394109272132,0.0102704478127003,0.0145708523591077,2.399513875874233,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4157,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4157_rotmod.dat,17,SBdisk+SBbul,2.994486991415694,2.994486991415694,12,12,trained_gradient_boosting,0.681978717441559,1.7080952663041309,2.39673125975077,0.2873229906961904,moderate_bridge,144,10218.0,0.9924242424242424,7.743660950194114,15.671533313114184,141.91666666666666,2.5317429218272185,8.035028966986476e-05,0.6163334259295244,0.9930025528913284,76296.81315053553,15083.283922702198,1115.0871768279524,2.380436471348032,0.8799964289004466,2.1945557072184187,0.9979277430874494,1.0847008638323496,0.363957434883118,0.0320631109466669,0.0541514751761826,5.074062207721911,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
NGC4183,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4183_rotmod.dat,23,SBdisk+SBbul,2.7680753700379577,2.7680753700379577,12,12,trained_gradient_boosting,0.6952047418506786,1.7309233844342713,2.3712265530025247,0.2700303637193504,moderate_bridge,144,10296.0,1.0,11.79489547081669,20.499276118948146,143.0,0.0,0.0006102151289395,0.5939692686058778,1.0,8911.883573279709,1602.1344832932234,1698.4649477976034,2.3777860863604823,0.8803501444864479,1.9435071337517136,0.9987887206235312,1.2234511749748218,0.3904094837013572,0.0361771668703003,0.0824817865092076,4.964185625422084,1.0,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda1.0_v1
