name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs
J1443+0304,4.589,6.656,0.3718565681061432,1.664,4.0,11.119999885559082,1.3182563911826832,1.7892131127149076,0.9999966581273916,0.0017882201169332,6.656,0.3718565681061432,J1443+0304,4.15,4.15,measured,0.009115390622763841,-0.3718565681061432
J1451-0239,5.221,9.39609856836934,0.5876056027739056,3.451,4.0,11.390000343322754,2.454710856206481,1.7892131127149076,0.999996658127392,0.001788220116933,9.402939590355771,0.5883334083382803,J1451-0239,3.35,3.35,measured,0.00858856038128164,-0.5883334083382803
J1525+3327,32.832,19.406563791146137,-0.525792300953186,12.13,4.0,12.020000457763672,10.47129651766654,1.7892131127149071,0.9999966581273916,0.0017882201169331,19.39869556889201,-0.5261978244565313,J1525+3327,4.55,4.55,measured,0.00916343298402128,0.5261978244565313
J1531-0105,12.99,13.120414364120492,0.0099895349658485,5.433,4.0,11.68000030517578,4.786304286528679,1.7892131127149071,0.999996658127392,0.0017882201169334,13.12976819927659,0.0107022031943002,J1531-0105,3.85,3.85,measured,0.00901003358178043,-0.0107022031943002
J1538+5817,6.28,8.278392513805192,0.2762788282244659,2.512,4.0,11.279999732971191,1.9054595463785964,1.7892131127149076,0.9999966581273918,0.0017882201169333,8.28466846407646,0.2770366531917232,J1538+5817,4.05,4.05,measured,0.009100443673823344,-0.2770366531917232
J1614+4522,7.64,10.302708127808554,0.2990091825283558,7.761,4.0,11.470000267028809,2.951211041237279,1.7892131127149076,0.9999966581273918,0.0017882201169329,10.297792906348125,0.2985319881586115,J1614+4522,,4.0,default_4,0.009080097432049905,-0.2985319881586115
J1621+3931,19.146,13.426026491269225,-0.3548987178776008,5.817,4.0,11.699999809265137,5.011870135142811,1.7892131127149071,0.999996658127392,0.001788220116933,13.435580218778714,-0.3541873882825062,J1621+3931,4.35,4.35,measured,0.009146797567843368,0.3541873882825062
J1627-0053,14.221,13.4260513833606,-0.0575227927279895,6.736,4.0,11.699999809265137,5.011870135142811,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.421917924817532,-0.0578307086473115,J1627-0053,3.65,3.65,measured,0.008881132777194323,0.0578307086473115
J1630+4520,26.86,16.141633907960248,-0.5092362999222382,6.414,4.0,11.859999656677246,7.244353873869618,1.789213112714908,0.999996658127392,0.0017882201169332,16.153235445836,-0.5085178242877517,J1630+4520,4.6,4.6,measured,0.009164650680127118,0.5085178242877517
J1636+4707,14.455,12.386456200042662,-0.1544367417202705,6.132,4.0,11.630000114440918,4.265796312095559,1.789213112714907,0.999996658127392,0.0017882201169335,12.38274359768,-0.1547365174434096,J1636+4707,3.1500000000000004,3.1500000000000004,measured,0.008325338078722266,0.1547365174434096
J1644+2625,7.438,9.83892259385558,0.2797442170721584,3.755,4.0,11.43000030517578,2.691536695250786,1.7892131127149071,0.9999966581273918,0.0017882201169333,9.84603584720837,0.2804669266154573,J1644+2625,,4.0,default_4,0.00908009743205479,-0.2804669266154573
J1719+2939,11.859,10.18468545245678,-0.152201907191992,4.451,4.0,11.460000038146973,2.8840317564502844,1.7892131127149071,0.999996658127392,0.0017882201169329,10.191886943941746,-0.1514950668417403,J1719+2939,,4.0,default_4,0.009080097432054457,0.1514950668417403
J2238-0754,7.462,10.068080908748328,0.2995466386702574,4.41,4.0,11.449999809265137,2.818381693478142,1.7892131127149071,0.9999966581273918,0.0017882201169332,10.075245963448234,0.3002580459812298,J2238-0754,2.85,2.85,measured,0.0077416824833195785,-0.3002580459812298
J2300+0022,16.462,12.674988101556666,-0.2614240838068293,5.548,4.0,11.649999618530272,4.466831997992276,1.789213112714907,0.9999966581273916,0.0017882201169331,12.683990499772442,-0.2607140868676407,J2300+0022,4.05,4.05,measured,0.00910044367382945,0.2607140868676407
J2303+1422,11.687,13.581482000560516,0.1502301343415366,7.899,4.0,11.710000038146973,5.12861429039393,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.576389459052969,0.1498551018891731,J2303+1422,3.55,3.55,measured,0.008812886671181464,-0.1498551018891731
J2321-0939,3.814,11.96594941939619,1.1433865607536065,6.346,4.0,11.600000381469728,3.981075202376568,1.7892131127149076,0.999996658127392,0.0017882201169333,11.96196053716278,1.143053152421863,J2321-0939,4.25,4.25,measured,0.00912838297403773,-1.143053152421863
J2341+0000,14.021,13.897876068759452,-0.0088201780862533,7.353,4.0,11.729999542236328,5.3703123031766005,1.789213112714907,0.999996658127392,0.0017882201169334,13.893233739739696,-0.0091542654325249,J2341+0000,3.75,3.75,measured,0.008957452370558061,0.0091542654325249
