width,center,logM_low,logM_high,n,frac_Phi_better_logM,mean_delta_logM_minus_Phi,median_delta_logM_minus_Phi,p_mean_delta_one_sided,p_frac_one_sided,mean_abs_err_logM,mean_abs_err_Phi,names,tag
0.3,11.545000076293954,11.395000076293954,11.695000076293955,28,0.6071428571428571,0.0353829997597502,0.0567498311469813,0.001999333555481506,0.014661779406864379,0.38834728288807474,0.3529642831283245,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1416+5136;J1436-0000;J1531-0105;J1636+4707;J2238-0754;J2300+0022;J2321-0939,measured_n_only
0.2,11.495000076293953,11.395000076293954,11.595000076293953,16,0.625,0.03506879291704598,0.07038846997385792,0.04498500499833389,0.0716427857380873,0.32780185803849415,0.29273306512144814,J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J2238-0754,measured_n_only
0.3,11.495000076293953,11.345000076293953,11.645000076293954,23,0.6086956521739131,0.03404221281510656,0.06969234206023844,0.010329890036654448,0.035654781739420195,0.4327646409428545,0.3987224281277478,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1106+5228;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1416+5136;J1451-0239;J1636+4707;J2238-0754;J2321-0939,measured_n_only
0.2,11.620000076293955,11.520000076293956,11.720000076293955,23,0.5652173913043478,0.03189400200011332,0.03140912447862265,0.014995001666111295,0.10896367877374209,0.41991288828213486,0.38801888628202147,J0008-0004;J0029-0055;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1023+4230;J1103+5322;J1142+1001;J1143-0144;J1218+0830;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939,measured_n_only
0.3,11.445000076293953,11.295000076293952,11.595000076293953,19,0.631578947368421,0.030330105535973716,0.06969234206023844,0.03698767077640786,0.0433188937020993,0.3491606469042479,0.3188305413682741,J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1106+5228;J1134+6027;J1142+1001;J1153+4612;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1451-0239;J2238-0754,measured_n_only
0.3,11.520000076293954,11.370000076293953,11.670000076293954,24,0.5833333333333334,0.029741062941192564,0.0567498311469813,0.013328890369876709,0.07130956347884039,0.43042309778833543,0.40068203484714277,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0841+3824;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1416+5136;J1451-0239;J1636+4707;J2238-0754;J2300+0022;J2321-0939,measured_n_only
0.25,11.595000076293955,11.470000076293955,11.720000076293955,28,0.5357142857142857,0.027719835685863496,0.01776589372904311,0.009330223258913695,0.1356214595134955,0.39936873363861053,0.3716488979527469,J0008-0004;J0029-0055;J0044+0113;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1213+6708;J1218+0830;J1251-0208;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939,measured_n_only
0.25,11.470000076293953,11.345000076293953,11.595000076293953,18,0.6111111111111112,0.026267406769646524,0.06826864298855392,0.06297900699766744,0.06997667444185271,0.3441778760934809,0.3179104693238343,J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1106+5228;J1134+6027;J1142+1001;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1451-0239;J2238-0754,measured_n_only
0.2,11.645000076293956,11.545000076293956,11.745000076293955,28,0.5357142857142857,0.02564236023395807,0.01776589372904311,0.012662445851382872,0.13862045984671775,0.3858331318250906,0.36019077159113255,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1023+4230;J1112+0826;J1142+1001;J1143-0144;J1205+4910;J1218+0830;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.25,11.620000076293955,11.495000076293955,11.745000076293955,31,0.5483870967741935,0.023350552025285336,0.03140912447862265,0.009996667777407531,0.07697434188603798,0.3700110345761443,0.346660482550859,J0008-0004;J0029-0055;J0037-0942;J0157-0056;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J0959+4416;J1023+4230;J1103+5322;J1112+0826;J1134+6027;J1142+1001;J1143-0144;J1205+4910;J1218+0830;J1251-0208;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939;J2341+0000,measured_n_only
0.3,11.570000076293955,11.420000076293954,11.720000076293955,32,0.53125,0.023247331364061024,0.01776589372904311,0.008330556481172943,0.11096301232922359,0.3856704758446411,0.36242314448058,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2238-0754;J2300+0022;J2303+1422;J2321-0939,measured_n_only
